司会,"Map026.json,events,2,name"
清彦,"Map026.json,events,3,name"
\C[27]清彦,"Map026.json,events,4,pages,0,list,4,parameters,0"
「……你怎么会有这么多钱」,"Map026.json,events,4,pages,0,list,5,parameters,0"
「……是啊。,"Map026.json,events,4,pages,0,list,8,parameters,0"
我从明日香变成清彦后，赚了一笔。,"Map026.json,events,4,pages,0,list,9,parameters,0"
利用我的能力在赌博中」,"Map026.json,events,4,pages,0,list,10,parameters,0"
\C[27]清彦,"Map026.json,events,4,pages,0,list,12,parameters,0"
「就算是这样……时间也太奇怪了吧。,"Map026.json,events,4,pages,0,list,13,parameters,0"
昨天才分手，怎么会有这么多……」,"Map026.json,events,4,pages,0,list,14,parameters,0"
明日香,"Map026.json,events,4,pages,0,list,17,parameters,0"
「大概已经过了半年吧？」,"Map026.json,events,4,pages,0,list,18,parameters,0"
\C[27]清彦,"Map026.json,events,4,pages,0,list,23,parameters,0"
「嗯？」,"Map026.json,events,4,pages,0,list,24,parameters,0"
明日香,"Map026.json,events,4,pages,0,list,28,parameters,0"
「我喝下了与长时间昏睡药混合的东西,"Map026.json,events,4,pages,0,list,29,parameters,0"
然后和『我』交换了身体。所以，已经过了半年」,"Map026.json,events,4,pages,0,list,30,parameters,0"
明日香,"Map026.json,events,4,pages,0,list,32,parameters,0"
「半年的时间，足够去赌场,"Map026.json,events,4,pages,0,list,33,parameters,0"
利用能力成为超级富豪了吧？,"Map026.json,events,4,pages,0,list,34,parameters,0"
啊，还有，债务也已经还清了」,"Map026.json,events,4,pages,0,list,35,parameters,0"
一切都合情合理。,"Map026.json,events,4,pages,0,list,38,parameters,0"
那些男人的伤口已经痊愈。,"Map026.json,events,4,pages,0,list,39,parameters,0"
他们说了几个月前的事情。,"Map026.json,events,4,pages,0,list,40,parameters,0"
\!而且……『我』成了大富豪。,"Map026.json,events,4,pages,0,list,41,parameters,0"
明日香,"Map026.json,events,4,pages,0,list,43,parameters,0"
「嗯……虽然有点勉强地夺取了你的身体,"Map026.json,events,4,pages,0,list,44,parameters,0"
但我还是感到很抱歉。不过……」,"Map026.json,events,4,pages,0,list,45,parameters,0"
清彦……不，现在是和明日香对话。,"Map026.json,events,4,pages,0,list,47,parameters,0"
明日香的目光很可疑。,"Map026.json,events,4,pages,0,list,48,parameters,0"
那双眼睛，就是刚才一直盯着她的那些男人的眼睛。,"Map026.json,events,4,pages,0,list,49,parameters,0"
\C[27]清彦,"Map026.json,events,4,pages,0,list,54,parameters,0"
\C[18]察觉到自己被性别化的目光\C[0],"Map026.json,events,4,pages,0,list,57,parameters,0"
下意识地转过身，试图隐藏身体。,"Map026.json,events,4,pages,0,list,58,parameters,0"
但是，因为手铐的缘故，身体无法如愿移动。,"Map026.json,events,4,pages,0,list,59,parameters,0"
她拼命地转动脖子，瞪着明日香。,"Map026.json,events,4,pages,0,list,60,parameters,0"
明日香,"Map026.json,events,4,pages,0,list,62,parameters,0"
「……好可爱啊。,"Map026.json,events,4,pages,0,list,63,parameters,0"
变成男孩子后的半年，一开始对女孩子,"Map026.json,events,4,pages,0,list,64,parameters,0"
没有兴趣……但现在不同了」,"Map026.json,events,4,pages,0,list,65,parameters,0"
从左肩传来的手触摸到她的左胸。,"Map026.json,events,4,pages,0,list,68,parameters,0"
右手触摸到她的右臀。,"Map026.json,events,4,pages,0,list,69,parameters,0"
淫荡地，温柔地抚摸着两只手。,"Map026.json,events,4,pages,0,list,70,parameters,0"
与被两个男人抓住时的感觉不同，这些手已经熟练。,"Map026.json,events,4,pages,0,list,72,parameters,0"
而且，她最喜欢被触摸的地方。,"Map026.json,events,4,pages,0,list,73,parameters,0"
明日香最清楚……。,"Map026.json,events,4,pages,0,list,74,parameters,0"
被男人触摸，感觉非常恶心。,"Map026.json,events,4,pages,0,list,76,parameters,0"
但是……无法压制住甜美的声音。,"Map026.json,events,4,pages,0,list,77,parameters,0"
旁边的男人听得见。,"Map026.json,events,4,pages,0,list,78,parameters,0"
明日香,"Map026.json,events,4,pages,0,list,80,parameters,0"
「太可爱了……精灵的明日香酱。,"Map026.json,events,4,pages,0,list,81,parameters,0"
我会好好照顾你……♪」,"Map026.json,events,4,pages,0,list,82,parameters,0"
甜蜜地，轻声低语在她的耳边，她的心脏怦然而动。,"Map026.json,events,4,pages,0,list,84,parameters,0"
『我』说着引诱女性的话。,"Map026.json,events,4,pages,0,list,85,parameters,0"
无法忍受，鸡皮疙瘩起了。,"Map026.json,events,4,pages,0,list,86,parameters,0"
\C[27]清彦,"Map026.json,events,4,pages,0,list,90,parameters,0"
「这个变态……！稍微注意一下周围的人……！」,"Map026.json,events,4,pages,0,list,91,parameters,0"
明日香,"Map026.json,events,4,pages,0,list,93,parameters,0"
「啊，是啊……。,"Map026.json,events,4,pages,0,list,94,parameters,0"
对不起了明日香酱。接下来的部分……下次再说？」,"Map026.json,events,4,pages,0,list,95,parameters,0"
\C[27]清彦,"Map026.json,events,4,pages,0,list,97,parameters,0"
「（……绝对不行。,"Map026.json,events,4,pages,0,list,98,parameters,0"
无论成为奴隶和主人的关系如何,"Map026.json,events,4,pages,0,list,99,parameters,0"
我绝对不会承认这个变态混蛋！）」,"Map026.json,events,4,pages,0,list,100,parameters,0"
――几周后。,"Map026.json,events,4,pages,0,list,107,parameters,0"
宝物出现,"Map026.json,events,5,name"
男B,"Map026.json,events,6,name"
男D,"Map026.json,events,7,name"
男A,"Map026.json,events,8,name"
