清彦,"Map028.json,events,2,name"
\C[27]清彦,"Map028.json,events,3,pages,0,list,1,parameters,0"
「好了，得去厨房了。那家伙嘴巴真碎」,"Map028.json,events,3,pages,0,list,2,parameters,0"
\C[27]清彦,"Map028.json,events,3,pages,0,list,16,parameters,0"
「咕」,"Map028.json,events,3,pages,0,list,17,parameters,0"
阿卡莉,"Map028.json,events,3,pages,0,list,20,parameters,0"
「嗨，阿卡莉，早上好」,"Map028.json,events,3,pages,0,list,21,parameters,0"
\C[27]清彦,"Map028.json,events,3,pages,0,list,23,parameters,0"
「呃……嗯。\!,"Map028.json,events,3,pages,0,list,24,parameters,0"
早上好……\.\.\.诸、\.\.\.\.\.主人」,"Map028.json,events,3,pages,0,list,25,parameters,0"
她不由自主地移开了目光。,"Map028.json,events,3,pages,0,list,27,parameters,0"
虽然嘴里和心里都抱怨着,"Map028.json,events,3,pages,0,list,28,parameters,0"
但并不是真的讨厌主人。,"Map028.json,events,3,pages,0,list,29,parameters,0"
只是……看到『自己』感到害羞。,"Map028.json,events,3,pages,0,list,31,parameters,0"
用自己从未使用过的言辞,"Map028.json,events,3,pages,0,list,32,parameters,0"
采取自己从未想过的行动……这让她难以忍受。,"Map028.json,events,3,pages,0,list,33,parameters,0"
\!就像是一个陌生人一样。,"Map028.json,events,3,pages,0,list,34,parameters,0"
\C[27]清彦,"Map028.json,events,3,pages,0,list,36,parameters,0"
「……那么，我去做早餐了」,"Map028.json,events,3,pages,0,list,37,parameters,0"
阿卡莉,"Map028.json,events,3,pages,0,list,45,parameters,0"
「等等」,"Map028.json,events,3,pages,0,list,46,parameters,0"
\C[27]清彦,"Map028.json,events,3,pages,0,list,49,parameters,0"
「怎么了」,"Map028.json,events,3,pages,0,list,50,parameters,0"
阿卡莉,"Map028.json,events,3,pages,0,list,52,parameters,0"
「今天也是胸部又大又可爱呢」,"Map028.json,events,3,pages,0,list,53,parameters,0"
\C[27]清彦,"Map028.json,events,3,pages,0,list,55,parameters,0"
「……你只想说这个吗？」,"Map028.json,events,3,pages,0,list,56,parameters,0"
阿卡莉,"Map028.json,events,3,pages,0,list,58,parameters,0"
「你这种反抗的样子……真是让人受不了」,"Map028.json,events,3,pages,0,list,59,parameters,0"
\C[27]清彦,"Map028.json,events,3,pages,0,list,73,parameters,0"
「咿！」,"Map028.json,events,3,pages,0,list,74,parameters,0"
\C[27]清彦,"Map028.json,events,3,pages,0,list,82,parameters,0"
「停下来……停下来！」,"Map028.json,events,3,pages,0,list,83,parameters,0"
右手紧紧地拉住项圈。,"Map028.json,events,3,pages,0,list,85,parameters,0"
然后左手揉捏着丰满的胸部，改变着形状。,"Map028.json,events,3,pages,0,list,86,parameters,0"
但是……几乎没有疼痛感。,"Map028.json,events,3,pages,0,list,87,parameters,0"
\C[27]清彦,"Map028.json,events,3,pages,0,list,89,parameters,0"
「（该死……忍耐住！,"Map028.json,events,3,pages,0,list,90,parameters,0"
现在就要忍受这种性骚扰）」,"Map028.json,events,3,pages,0,list,91,parameters,0"
阿卡莉,"Map028.json,events,3,pages,0,list,93,parameters,0"
「还是一如既往地性感的胸部啊。,"Map028.json,events,3,pages,0,list,94,parameters,0"
这样的话，就像是在引诱一样」,"Map028.json,events,3,pages,0,list,95,parameters,0"
阿卡莉,"Map028.json,events,3,pages,0,list,98,parameters,0"
「化妆也变得熟练了呢。真的好可爱」,"Map028.json,events,3,pages,0,list,99,parameters,0"
阿卡莉,"Map028.json,events,3,pages,0,list,103,parameters,0"
