吸血公主,"Map049.json,events,1,name"
店长,"Map049.json,events,2,name"
店长,"Map049.json,events,5,pages,0,list,3,parameters,0"
「好可爱～♡\!,"Map049.json,events,5,pages,0,list,4,parameters,0"
果然清酱，材料最棒了」,"Map049.json,events,5,pages,0,list,5,parameters,0"
\C[27]清彦,"Map049.json,events,5,pages,0,list,10,parameters,0"
「你说要我早点来，结果,"Map049.json,events,5,pages,0,list,11,parameters,0"
这是什么……」,"Map049.json,events,5,pages,0,list,12,parameters,0"
店长,"Map049.json,events,5,pages,0,list,14,parameters,0"
「今天是泳装日哟。,"Map049.json,events,5,pages,0,list,15,parameters,0"
穿着泳装加围裙，吸引男人们。,"Map049.json,events,5,pages,0,list,16,parameters,0"
没关系。其他的女孩子也差不多这样打扮」,"Map049.json,events,5,pages,0,list,17,parameters,0"
\C[27]清彦,"Map049.json,events,5,pages,0,list,29,parameters,0"
「唔～……」,"Map049.json,events,5,pages,0,list,30,parameters,0"
用绳子遮住胸部周围，,"Map049.json,events,5,pages,0,list,32,parameters,0"
形状像是遮住胸部微微隆起的衣物。,"Map049.json,events,5,pages,0,list,33,parameters,0"
而且遮得不够好，非常显眼。,"Map049.json,events,5,pages,0,list,34,parameters,0"
紧紧包裹住下体的东西。,"Map049.json,events,5,pages,0,list,36,parameters,0"
虽然每天都穿着，,"Map049.json,events,5,pages,0,list,37,parameters,0"
但是这样几乎像内衣一样的东西暴露在周围,"Map049.json,events,5,pages,0,list,38,parameters,0"
真的很讨厌。太害羞了。,"Map049.json,events,5,pages,0,list,39,parameters,0"
即使用围裙遮住……。,"Map049.json,events,5,pages,0,list,41,parameters,0"
从后面看，会暴露出漂亮的屁股。,"Map049.json,events,5,pages,0,list,42,parameters,0"
\!鞋子是高跟鞋……嗯，这个还好。,"Map049.json,events,5,pages,0,list,43,parameters,0"
「打扰了」,"Map049.json,events,5,pages,0,list,51,parameters,0"
\C[27]清彦,"Map049.json,events,5,pages,0,list,61,parameters,0"
