树精,"Map064.json,events,2,name"
绿色男子,"Map064.json,events,6,pages,0,list,1,parameters,0"
「呼……已经深入了很多。,"Map064.json,events,6,pages,0,list,2,parameters,0"
在这里，我正在寻找,"Map064.json,events,6,pages,0,list,3,parameters,0"
『传说中的蔬菜种子』……」,"Map064.json,events,6,pages,0,list,4,parameters,0"
绿色男子,"Map064.json,events,6,pages,0,list,24,parameters,0"
（这里也有那个魔物娘啊）」,"Map064.json,events,6,pages,0,list,26,parameters,0"
\C[27]阿露娜,"Map064.json,events,6,pages,0,list,29,parameters,0"
「……有人在吗？」,"Map064.json,events,6,pages,0,list,30,parameters,0"
绿色男子看到她感到惊讶。,"Map064.json,events,6,pages,0,list,37,parameters,0"
与之前见过的阿露娜不同。,"Map064.json,events,6,pages,0,list,38,parameters,0"
……她会是这片森林的首领吗？,"Map064.json,events,6,pages,0,list,39,parameters,0"
在入口附近的阿露娜，虽然不知道任何事情,"Map064.json,events,6,pages,0,list,41,parameters,0"
但是这个阿露娜……也许知道绿色男子正在寻找的东西。,"Map064.json,events,6,pages,0,list,42,parameters,0"
绿衣男子,"Map064.json,events,6,pages,0,list,46,parameters,0"
「不好意思，吓到你了吗？,"Map064.json,events,6,pages,0,list,47,parameters,0"
我正在寻找『传说中的蔬菜种子』，在旅途中。,"Map064.json,events,6,pages,0,list,48,parameters,0"
魔物娘，你知道这个种子吗？」,"Map064.json,events,6,pages,0,list,49,parameters,0"
\C[27]阿露娜,"Map064.json,events,6,pages,0,list,52,parameters,0"
「『传说中的蔬菜种子』？\!嗯……」,"Map064.json,events,6,pages,0,list,53,parameters,0"
\C[27]阿露娜,"Map064.json,events,6,pages,0,list,56,parameters,0"
「不知道呢……对不起」,"Map064.json,events,6,pages,0,list,57,parameters,0"
绿衣男子,"Map064.json,events,6,pages,0,list,59,parameters,0"
「是吗。,"Map064.json,events,6,pages,0,list,60,parameters,0"
这里也不行吗……。,"Map064.json,events,6,pages,0,list,61,parameters,0"
谢谢你，我就先失陪了」,"Map064.json,events,6,pages,0,list,62,parameters,0"
\C[27]阿露娜,"Map064.json,events,6,pages,0,list,67,parameters,0"
「啊！」,"Map064.json,events,6,pages,0,list,68,parameters,0"
绿衣男子,"Map064.json,events,6,pages,0,list,72,parameters,0"
「嗯？怎么了，发出那么大的声音」,"Map064.json,events,6,pages,0,list,73,parameters,0"
\C[27]阿露娜,"Map064.json,events,6,pages,0,list,75,parameters,0"
