猫娘,"Map065.json,events,4,name"
男性,"Map065.json,events,5,name"
男子,"Map065.json,events,5,pages,0,list,1,parameters,0"
「猫娘啊。,"Map065.json,events,5,pages,0,list,2,parameters,0"
虽然非常可爱，但我们养不起呢」,"Map065.json,events,5,pages,0,list,3,parameters,0"
女子,"Map065.json,events,6,name"
女子,"Map065.json,events,6,pages,0,list,1,parameters,0"
「喵～好可爱～♪,"Map065.json,events,6,pages,0,list,2,parameters,0"
想摸摸耳朵呢」,"Map065.json,events,6,pages,0,list,3,parameters,0"
女子,"Map065.json,events,6,pages,1,list,1,parameters,0"
「喵～好可爱～♪,"Map065.json,events,6,pages,1,list,2,parameters,0"
想摸摸耳朵呢」,"Map065.json,events,6,pages,1,list,3,parameters,0"
女子,"Map065.json,events,6,pages,1,list,5,parameters,0"
「你的耳朵也很可爱～♪」,"Map065.json,events,6,pages,1,list,6,parameters,0"
\C[27]清彦,"Map065.json,events,6,pages,1,list,8,parameters,0"
「嗯？谢、谢谢」,"Map065.json,events,6,pages,1,list,9,parameters,0"
虽然被人看到尾巴和身体是常有的事,"Map065.json,events,6,pages,1,list,11,parameters,0"
但是被人看到耳朵还是第一次。,"Map065.json,events,6,pages,1,list,12,parameters,0"
世界上真是各种各样的人啊。,"Map065.json,events,6,pages,1,list,13,parameters,0"
女子,"Map065.json,events,6,pages,3,list,1,parameters,0"
「喵～好可爱～♪,"Map065.json,events,6,pages,3,list,2,parameters,0"
想摸摸耳朵呢」,"Map065.json,events,6,pages,3,list,3,parameters,0"
女子,"Map065.json,events,6,pages,3,list,5,parameters,0"
「你的耳朵也很可爱～♪」,"Map065.json,events,6,pages,3,list,6,parameters,0"
\C[27]清彦,"Map065.json,events,6,pages,3,list,8,parameters,0"
「嗯？谢……谢谢」,"Map065.json,events,6,pages,3,list,9,parameters,0"
被指出来的话，我还以为是翅膀或者羽毛。,"Map065.json,events,6,pages,3,list,11,parameters,0"
但是第一次被指出尖耳朵。,"Map065.json,events,6,pages,3,list,12,parameters,0"
世界上真是各种各样的人啊。,"Map065.json,events,6,pages,3,list,13,parameters,0"
建造栅栏的男子,"Map065.json,events,7,name"
男子,"Map065.json,events,7,pages,0,list,1,parameters,0"
「好了，水槽终于做好了。,"Map065.json,events,7,pages,0,list,2,parameters,0"
打算在这里保护水中的魔物娘」,"Map065.json,events,7,pages,0,list,3,parameters,0"
男子,"Map065.json,events,7,pages,0,list,5,parameters,0"
「所以，你听说过在水中的魔物娘吗……。,"Map065.json,events,7,pages,0,list,6,parameters,0"
虽然是命令建造的，但真的是浪费体力。,"Map065.json,events,7,pages,0,list,7,parameters,0"
而且还浪费了预算」,"Map065.json,events,7,pages,0,list,8,parameters,0"
清彦,"Map065.json,events,7,pages,0,list,10,parameters,0"
「（好麻烦啊……）」,"Map065.json,events,7,pages,0,list,11,parameters,0"
男子,"Map065.json,events,7,pages,1,list,1,parameters,0"
「好了，水槽终于做好了。,"Map065.json,events,7,pages,1,list,2,parameters,0"
打算在这里保护水中的魔物娘」,"Map065.json,events,7,pages,1,list,3,parameters,0"
男子,"Map065.json,events,7,pages,1,list,5,parameters,0"
「所以，你听说过在水中的魔物娘吗……。,"Map065.json,events,7,pages,1,list,6,parameters,0"
虽然是命令建造的，但真的是浪费体力。,"Map065.json,events,7,pages,1,list,7,parameters,0"
而且还浪费了预算」,"Map065.json,events,7,pages,1,list,8,parameters,0"
男子,"Map065.json,events,7,pages,1,list,10,parameters,0"
「为了确认一下，你虽然看起来像魔物娘,"Map065.json,events,7,pages,1,list,11,parameters,0"
但是听说过在水中的魔物娘吗……？」,"Map065.json,events,7,pages,1,list,12,parameters,0"
\C[27]清彦,"Map065.json,events,7,pages,1,list,14,parameters,0"
「果然还是听说过的事情啊……」,"Map065.json,events,7,pages,1,list,15,parameters,0"
男,"Map065.json,events,7,pages,1,list,17,parameters,0"
「是啊。,"Map065.json,events,7,pages,1,list,18,parameters,0"
啊～～～真是预算的浪费。,"Map065.json,events,7,pages,1,list,19,parameters,0"
真的开始怀疑上司的做法了」,"Map065.json,events,7,pages,1,list,20,parameters,0"
男子,"Map065.json,events,7,pages,2,list,2,parameters,0"
「好了，水槽终于做好了。,"Map065.json,events,7,pages,2,list,3,parameters,0"
打算在这里保护水中的魔物娘」,"Map065.json,events,7,pages,2,list,4,parameters,0"
男子,"Map065.json,events,7,pages,2,list,6,parameters,0"
「所以，你听说过在水中的魔物娘吗……。,"Map065.json,events,7,pages,2,list,7,parameters,0"
虽然是命令建造的，但真的是浪费体力。,"Map065.json,events,7,pages,2,list,8,parameters,0"
而且还浪费了预算」,"Map065.json,events,7,pages,2,list,9,parameters,0"
男,"Map065.json,events,7,pages,2,list,11,parameters,0"
「你，对此有什么看法……？」,"Map065.json,events,7,pages,2,list,12,parameters,0"
\C[27]清彦,"Map065.json,events,7,pages,2,list,15,parameters,0"
「怎么说呢……确实如此」,"Map065.json,events,7,pages,2,list,16,parameters,0"
注视着水槽。,"Map065.json,events,7,pages,2,list,20,parameters,0"
精心制作，杂质也很少。,"Map065.json,events,7,pages,2,list,21,parameters,0"
水的循环也很好。,"Map065.json,events,7,pages,2,list,22,parameters,0"
如果水中的魔物娘在这里的话，应该会很健康。,"Map065.json,events,7,pages,2,list,23,parameters,0"
\C[27]清彦,"Map065.json,events,7,pages,2,list,27,parameters,0"
「我觉得没问题，做得很好」,"Map065.json,events,7,pages,2,list,28,parameters,0"
男,"Map065.json,events,7,pages,2,list,30,parameters,0"
「是吗？,"Map065.json,events,7,pages,2,list,31,parameters,0"
啊～太好了，能听到你这么说我很高兴。,"Map065.json,events,7,pages,2,list,32,parameters,0"
虽然不知道是否有用……」,"Map065.json,events,7,pages,2,list,33,parameters,0"
\C[27]清彦,"Map065.json,events,7,pages,2,list,35,parameters,0"
「哈哈……」,"Map065.json,events,7,pages,2,list,36,parameters,0"
男子,"Map065.json,events,7,pages,2,list,42,parameters,0"
「好了，水槽终于做好了。,"Map065.json,events,7,pages,2,list,43,parameters,0"
打算在这里保护水中的魔物娘」,"Map065.json,events,7,pages,2,list,44,parameters,0"
男子,"Map065.json,events,7,pages,2,list,46,parameters,0"
「所以，你听说过在水中的魔物娘吗……。,"Map065.json,events,7,pages,2,list,47,parameters,0"
虽然是命令建造的，但真的是浪费体力。,"Map065.json,events,7,pages,2,list,48,parameters,0"
而且还浪费了预算」,"Map065.json,events,7,pages,2,list,49,parameters,0"
男,"Map065.json,events,7,pages,2,list,51,parameters,0"
「你，对此有什么看法……？」,"Map065.json,events,7,pages,2,list,52,parameters,0"
\C[27]清彦,"Map065.json,events,7,pages,2,list,55,parameters,0"
「怎么说呢……确实如此」,"Map065.json,events,7,pages,2,list,56,parameters,0"
注视着水槽。,"Map065.json,events,7,pages,2,list,60,parameters,0"
精心制作，杂质也很少。,"Map065.json,events,7,pages,2,list,61,parameters,0"
水的循环也很好。,"Map065.json,events,7,pages,2,list,62,parameters,0"
如果水中的魔物娘在这里的话，应该会很健康。,"Map065.json,events,7,pages,2,list,63,parameters,0"
\C[27]清彦,"Map065.json,events,7,pages,2,list,67,parameters,0"
「我觉得没问题，做得很好」,"Map065.json,events,7,pages,2,list,68,parameters,0"
男,"Map065.json,events,7,pages,2,list,70,parameters,0"
「是吗？,"Map065.json,events,7,pages,2,list,71,parameters,0"
啊～太好了，能听到你这么说我很高兴。,"Map065.json,events,7,pages,2,list,72,parameters,0"
虽然不知道是否有用……」,"Map065.json,events,7,pages,2,list,73,parameters,0"
\C[27]清彦,"Map065.json,events,7,pages,2,list,75,parameters,0"
「哈哈……」,"Map065.json,events,7,pages,2,list,76,parameters,0"
男子,"Map065.json,events,7,pages,3,list,2,parameters,0"
「好了，水槽终于做好了。,"Map065.json,events,7,pages,3,list,3,parameters,0"
打算在这里保护水中的魔物娘」,"Map065.json,events,7,pages,3,list,4,parameters,0"
男子,"Map065.json,events,7,pages,3,list,6,parameters,0"
「所以，你听说过在水中的魔物娘吗……。,"Map065.json,events,7,pages,3,list,7,parameters,0"
虽然是命令建造的，但真的是浪费体力。,"Map065.json,events,7,pages,3,list,8,parameters,0"
而且还浪费了预算」,"Map065.json,events,7,pages,3,list,9,parameters,0"
男,"Map065.json,events,7,pages,3,list,11,parameters,0"
「你，对此有什么看法……？」,"Map065.json,events,7,pages,3,list,12,parameters,0"
\C[27]清彦,"Map065.json,events,7,pages,3,list,15,parameters,0"
「怎么说呢……确实如此」,"Map065.json,events,7,pages,3,list,16,parameters,0"
注视着水槽。,"Map065.json,events,7,pages,3,list,20,parameters,0"
精心制作，杂质也很少。,"Map065.json,events,7,pages,3,list,21,parameters,0"
水的循环也很好。,"Map065.json,events,7,pages,3,list,22,parameters,0"
如果水中的魔物娘在这里的话，应该会很健康。,"Map065.json,events,7,pages,3,list,23,parameters,0"
老实说，我很想知道是怎么建造的。,"Map065.json,events,7,pages,3,list,25,parameters,0"
简单来说，它甚至可以作为游泳池使用。,"Map065.json,events,7,pages,3,list,26,parameters,0"
只要做好安全措施，应该能吸引人们。,"Map065.json,events,7,pages,3,list,27,parameters,0"
\C[27]清彦,"Map065.json,events,7,pages,3,list,31,parameters,0"
「我觉得没问题，做得很好」,"Map065.json,events,7,pages,3,list,32,parameters,0"
男,"Map065.json,events,7,pages,3,list,34,parameters,0"
「是吗？,"Map065.json,events,7,pages,3,list,35,parameters,0"
啊～太好了，能听到你这么说我很高兴。,"Map065.json,events,7,pages,3,list,36,parameters,0"
虽然不知道是否有用……」,"Map065.json,events,7,pages,3,list,37,parameters,0"
