男性,"Map067.json,events,1,name"
船员,"Map067.json,events,2,name"
清彦,"Map067.json,events,3,pages,0,list,3,parameters,0"
「呼……」,"Map067.json,events,3,pages,0,list,4,parameters,0"
魔物娘岛渐行渐远。,"Map067.json,events,3,pages,0,list,6,parameters,0"
虽然船费花光了钱包，但这个价值是相符的。,"Map067.json,events,3,pages,0,list,7,parameters,0"
凝视着得到的『水蓝色水晶』。,"Map067.json,events,3,pages,0,list,11,parameters,0"
如果这是个了不起的东西，或许能一下子还清债务。,"Map067.json,events,3,pages,0,list,12,parameters,0"
清彦,"Map067.json,events,3,pages,0,list,14,parameters,0"
「（虽然朋友并不是你的债务,"Map067.json,events,3,pages,0,list,15,parameters,0"
但……）」,"Map067.json,events,3,pages,0,list,16,parameters,0"
清彦,"Map067.json,events,3,pages,0,list,18,parameters,0"
「（嗯……只能祈祷它的价格高吧）」,"Map067.json,events,3,pages,0,list,19,parameters,0"
清彦,"Map067.json,events,3,pages,0,list,26,parameters,0"
「（海浪变得更加汹涌了……,"Map067.json,events,3,pages,0,list,27,parameters,0"
而且）」,"Map067.json,events,3,pages,0,list,28,parameters,0"
清彦,"Map067.json,events,3,pages,0,list,41,parameters,0"
「（天气变得可疑。,"Map067.json,events,3,pages,0,list,42,parameters,0"
看来要穿越暴风雨了……,"Map067.json,events,3,pages,0,list,43,parameters,0"
虽然不会沉没，但我讨厌晃动）」,"Map067.json,events,3,pages,0,list,44,parameters,0"
清彦,"Map067.json,events,3,pages,0,list,46,parameters,0"
「（算了，就当倒霉了。,"Map067.json,events,3,pages,0,list,47,parameters,0"
……差不多该回船舱了吧）」,"Map067.json,events,3,pages,0,list,48,parameters,0"
