もと父親,"Map088.json,events,1,name"
右边的女孩,"Map088.json,events,1,pages,0,list,5,parameters,0"
「变回人类后,"Map088.json,events,1,pages,0,list,6,parameters,0"
竟然变成和女儿一样的年龄……,"Map088.json,events,1,pages,0,list,7,parameters,0"
真是该怎么办才好」,"Map088.json,events,1,pages,0,list,8,parameters,0"
左边的女孩,"Map088.json,events,1,pages,0,list,12,parameters,0"
「没关系，爸爸！,"Map088.json,events,1,pages,0,list,13,parameters,0"
我会手把手教你做女孩子的！」,"Map088.json,events,1,pages,0,list,14,parameters,0"
右边的女孩,"Map088.json,events,1,pages,0,list,18,parameters,0"
「是啊……」,"Map088.json,events,1,pages,0,list,19,parameters,0"
\C[27]清彦,"Map088.json,events,1,pages,0,list,21,parameters,0"
「（……一瞬间，她的眼神变成了魅魔的样子。,"Map088.json,events,1,pages,0,list,22,parameters,0"
难道说父亲平时就被她们领导着……？）」,"Map088.json,events,1,pages,0,list,23,parameters,0"
虽然平时的生活还好,"Map088.json,events,1,pages,0,list,25,parameters,0"
但很可能，晚上也会发生一些事情。,"Map088.json,events,1,pages,0,list,26,parameters,0"
不知道是因为自己的身体也变成了魅魔的影响,"Map088.json,events,1,pages,0,list,28,parameters,0"
还是从左边的女孩身上散发出来的，想要袭击的氛围,"Map088.json,events,1,pages,0,list,29,parameters,0"
以及从右边的女孩身上散发出来的期待之气。,"Map088.json,events,1,pages,0,list,30,parameters,0"
她用肌肤感受到了这一切。,"Map088.json,events,1,pages,0,list,31,parameters,0"
左边的女孩,"Map088.json,events,1,pages,0,list,33,parameters,0"
「那我们走吧，爸爸」,"Map088.json,events,1,pages,0,list,34,parameters,0"
右边的女孩,"Map088.json,events,1,pages,0,list,37,parameters,0"
「嗯……♡」,"Map088.json,events,1,pages,0,list,38,parameters,0"
\C[27]清彦,"Map088.json,events,1,pages,0,list,46,parameters,0"
「那个家庭会怎样呢……」,"Map088.json,events,1,pages,0,list,47,parameters,0"
右边的女孩,"Map088.json,events,1,pages,1,list,5,parameters,0"
「变回人类后,"Map088.json,events,1,pages,1,list,6,parameters,0"
竟然变成和女儿一样的年龄……,"Map088.json,events,1,pages,1,list,7,parameters,0"
真是该怎么办才好」,"Map088.json,events,1,pages,1,list,8,parameters,0"
\C[27]清彦,"Map088.json,events,1,pages,1,list,10,parameters,0"
