花店的男人,"Map095.json,events,7,name"
树精,"Map095.json,events,8,name"
男人,"Map095.json,events,9,pages,0,list,1,parameters,0"
「这朵花怎么样。,"Map095.json,events,9,pages,0,list,2,parameters,0"
开得很漂亮。,"Map095.json,events,9,pages,0,list,3,parameters,0"
带回店里，进行繁殖测试吧」,"Map095.json,events,9,pages,0,list,4,parameters,0"
\C[27]清彦,"Map095.json,events,9,pages,0,list,9,parameters,0"
「（好像被盯着……。,"Map095.json,events,9,pages,0,list,10,parameters,0"
虽然到现在为止没有被袭击，但太可怕了……！）」,"Map095.json,events,9,pages,0,list,11,parameters,0"
因为自己的原因，有可能成为袭击目标。,"Map095.json,events,9,pages,0,list,13,parameters,0"
虽然觉得是自食其果，但也没办法……。,"Map095.json,events,9,pages,0,list,14,parameters,0"
到现在为止没有被攻击,"Map095.json,events,9,pages,0,list,15,parameters,0"
是她们的计划吗……？,"Map095.json,events,9,pages,0,list,16,parameters,0"
就在店长做各种事情的时候,"Map095.json,events,9,pages,0,list,18,parameters,0"
爱娜温们聚集起来,"Map095.json,events,9,pages,0,list,19,parameters,0"
可能会袭击过来。,"Map095.json,events,9,pages,0,list,20,parameters,0"
她只能感到恐惧，害怕地发抖。,"Map095.json,events,9,pages,0,list,21,parameters,0"
男人,"Map095.json,events,9,pages,0,list,25,parameters,0"
「怎么样，清彦君」,"Map095.json,events,9,pages,0,list,26,parameters,0"
\C[27]清彦,"Map095.json,events,9,pages,0,list,31,parameters,0"
「很，很好！,"Map095.json,events,9,pages,0,list,32,parameters,0"
现在就带回去吧，现在！」,"Map095.json,events,9,pages,0,list,33,parameters,0"
男人,"Map095.json,events,9,pages,0,list,37,parameters,0"
「那个爱娜温君，把这个带回去没问题吧？」,"Map095.json,events,9,pages,0,list,38,parameters,0"
爱娜温,"Map095.json,events,9,pages,0,list,44,parameters,0"
「嗯，没问题～♪,"Map095.json,events,9,pages,0,list,45,parameters,0"
好好珍惜它哦」,"Map095.json,events,9,pages,0,list,46,parameters,0"
男人,"Map095.json,events,9,pages,0,list,48,parameters,0"
「谢谢。感谢你」,"Map095.json,events,9,pages,0,list,49,parameters,0"
男人,"Map095.json,events,9,pages,0,list,57,parameters,0"
「那么，清彦君，回去吧」,"Map095.json,events,9,pages,0,list,58,parameters,0"
\C[27]清彦,"Map095.json,events,9,pages,0,list,62,parameters,0"
「好！我知道了！,"Map095.json,events,9,pages,0,list,63,parameters,0"
（太好了没有袭击……。,"Map095.json,events,9,pages,0,list,64,parameters,0"
是因为身体变了，没有被认为是小偷吗？）」,"Map095.json,events,9,pages,0,list,65,parameters,0"
几周后。,"Map095.json,events,9,pages,0,list,69,parameters,0"
花,"Map095.json,events,10,name"
