亲密朋友,"Map112.json,events,1,name"
敏明,"Map112.json,events,3,pages,0,list,3,parameters,0"
「嘿～喝完了喝完了。,"Map112.json,events,3,pages,0,list,4,parameters,0"
好久没和你一起喝这么久了」,"Map112.json,events,3,pages,0,list,5,parameters,0"
清彦,"Map112.json,events,3,pages,0,list,9,parameters,0"
「啊，是啊……。,"Map112.json,events,3,pages,0,list,10,parameters,0"
我离开村子已经多少年了呢」,"Map112.json,events,3,pages,0,list,11,parameters,0"
敏明,"Map112.json,events,3,pages,0,list,15,parameters,0"
「多少年呢……。,"Map112.json,events,3,pages,0,list,16,parameters,0"
\!那个小小的房子，现在是我的家。,"Map112.json,events,3,pages,0,list,17,parameters,0"
来，既然有便宜酒，我们再来一轮吧」,"Map112.json,events,3,pages,0,list,18,parameters,0"
清彦,"Map112.json,events,3,pages,0,list,21,parameters,0"
「喂喂……你喝了那么多还这么有精神啊」,"Map112.json,events,3,pages,0,list,22,parameters,0"
清彦,"Map112.json,events,3,pages,0,list,46,parameters,0"
「（满月吗……）」,"Map112.json,events,3,pages,0,list,47,parameters,0"
他清楚地记得那天也是这样的月亮。,"Map112.json,events,3,pages,0,list,49,parameters,0"
被变成猫娘，度过了不便的日子。,"Map112.json,events,3,pages,0,list,50,parameters,0"
拼命逃出那个牢房的日子。,"Map112.json,events,3,pages,0,list,51,parameters,0"
虽然差点被猫娘浸染，但最终恢复了原样的日子。,"Map112.json,events,3,pages,0,list,52,parameters,0"
敏明,"Map112.json,events,3,pages,0,list,57,parameters,0"
「怎么了，清彦？」,"Map112.json,events,3,pages,0,list,58,parameters,0"
……不知为何，他无法将目光从那个月亮上移开。,"Map112.json,events,3,pages,0,list,62,parameters,0"
静静地，凝视着。,"Map112.json,events,3,pages,0,list,63,parameters,0"
\!然后，他的身体一抖。仿佛有什么东西在疼痛。,"Map112.json,events,3,pages,0,list,64,parameters,0"
敏明,"Map112.json,events,3,pages,0,list,70,parameters,0"
「喂喂，到底怎么了。,"Map112.json,events,3,pages,0,list,71,parameters,0"
喝的酒突然上头了吗？,"Map112.json,events,3,pages,0,list,72,parameters,0"
今天就睡吧？我无所谓哦？」,"Map112.json,events,3,pages,0,list,73,parameters,0"
他的双手和双脚像那天一样疼痛。,"Map112.json,events,3,pages,0,list,79,parameters,0"
五根手指变成了四根。,"Map112.json,events,3,pages,0,list,81,parameters,0"
人类的手上长满了毛，指甲变得很长。,"Map112.json,events,3,pages,0,list,82,parameters,0"
柔软而有弹性的肉球,"Map112.json,events,3,pages,0,list,83,parameters,0"
也变大了。,"Map112.json,events,3,pages,0,list,84,parameters,0"
脚像换了一样，发生了变化。,"Map112.json,events,3,pages,0,list,86,parameters,0"
指甲变长，长出了肉球。,"Map112.json,events,3,pages,0,list,87,parameters,0"
如果用双手和双脚,"Map112.json,events,3,pages,0,list,88,parameters,0"
就能迅速奔跑并轻松攀爬墙壁。,"Map112.json,events,3,pages,0,list,89,parameters,0"
头发变得柔顺。,"Map112.json,events,3,pages,0,list,92,parameters,0"
盔甲消失，他的身体变小变细。,"Map112.json,events,3,pages,0,list,93,parameters,0"
咯吱咯吱地响着……噗呲。兽耳和,"Map112.json,events,3,pages,0,list,94,parameters,0"
尾巴开始生长。,"Map112.json,events,3,pages,0,list,95,parameters,0"
敏明,"Map112.json,events,3,pages,0,list,97,parameters,0"
「清……彦……？」,"Map112.json,events,3,pages,0,list,98,parameters,0"
看着同乡的朋友变得面目全非，敏明愣住了。,"Map112.json,events,3,pages,0,list,100,parameters,0"
从来没有听说过朋友会有这样的体质。,"Map112.json,events,3,pages,0,list,101,parameters,0"
人类变成魔物娘，从来没有听说过也没有见过。,"Map112.json,events,3,pages,0,list,102,parameters,0"
两人之间陷入了沉默。,"Map112.json,events,3,pages,0,list,106,parameters,0"
酒劲上头，有些晕晕乎乎的敏明已经完全清醒，只能站在那里。,"Map112.json,events,3,pages,0,list,107,parameters,0"
摇曳着妖媚的尾巴，她……不，它慢慢地转过身来，面对敏明。,"Map112.json,events,3,pages,0,list,115,parameters,0"
咧嘴笑了起来。,"Map112.json,events,3,pages,0,list,118,parameters,0"
脸微微泛红，猫耳朵轻轻颤动，尾巴轻轻摇摆，妖艳地晃动。,"Map112.json,events,3,pages,0,list,119,parameters,0"
\!那双眼睛，正寻找着猎物。,"Map112.json,events,3,pages,0,list,120,parameters,0"
并不是吞噬敌人的目光。,"Map112.json,events,3,pages,0,list,122,parameters,0"
……完全是一种榨取的目光。,"Map112.json,events,3,pages,0,list,123,parameters,0"
\C[27]清彦,"Map112.json,events,3,pages,0,list,126,parameters,0"
「男……人……♡」,"Map112.json,events,3,pages,0,list,127,parameters,0"
敏明,"Map112.json,events,3,pages,0,list,143,parameters,0"
「哇！？」,"Map112.json,events,3,pages,0,list,144,parameters,0"
\C[27]清彦,"Map112.json,events,3,pages,0,list,146,parameters,0"
「喵呀……♡,"Map112.json,events,3,pages,0,list,147,parameters,0"
男人。只要是男人……♡」,"Map112.json,events,3,pages,0,list,148,parameters,0"
曾经的朋友，魔物娘……猫娘压在敏明身上。,"Map112.json,events,3,pages,0,list,150,parameters,0"
敏明像是被人操控一样，想要帮助变得面目全非的朋友。,"Map112.json,events,3,pages,0,list,151,parameters,0"
但是，那发情雌性的脸\C[27]女孩子\C[0]靠近了。,"Map112.json,events,3,pages,0,list,153,parameters,0"
胸前隆起的一滴汗凸显出性感。,"Map112.json,events,3,pages,0,list,154,parameters,0"
敏明咽了口口水，女孩子特有的舒适香气,"Map112.json,events,3,pages,0,list,155,parameters,0"
让敏明喉咙发出了声音。,"Map112.json,events,3,pages,0,list,156,parameters,0"
柔软的肉球触碰到了敏明的身体。,"Map112.json,events,3,pages,0,list,167,parameters,0"
敏明近距离地观察着她的身体。,"Map112.json,events,3,pages,0,list,168,parameters,0"
撒播着浓烈的气息，发情的雌性。,"Map112.json,events,3,pages,0,list,170,parameters,0"
毫无抵抗地将自己的身体贴在\C[27]异性\C[0]身上。,"Map112.json,events,3,pages,0,list,171,parameters,0"
柔软的女孩子，特有的皮肤。,"Map112.json,events,3,pages,0,list,172,parameters,0"
敏明,"Map112.json,events,3,pages,0,list,174,parameters,0"
「清彦……你、你」,"Map112.json,events,3,pages,0,list,175,parameters,0"
面对这样的雌性诱惑，,"Map112.json,events,3,pages,0,list,177,parameters,0"
敏明忍耐已经到了极限。\!,"Map112.json,events,3,pages,0,list,178,parameters,0"
勉强保持理智，试图帮助朋友的,"Map112.json,events,3,pages,0,list,179,parameters,0"
同伴意识超过了性欲……\!但是。,"Map112.json,events,3,pages,0,list,180,parameters,0"
\C[27]清彦,"Map112.json,events,3,pages,0,list,182,parameters,0"
「想要呢……♡,"Map112.json,events,3,pages,0,list,183,parameters,0"
敏明的这里，我想要……♡」,"Map112.json,events,3,pages,0,list,184,parameters,0"
\C[18]咔嚓。\C[0]敏明心里有什么东西绷断了。,"Map112.json,events,3,pages,0,list,189,parameters,0"
他抓住她的手腕，睁大了眼睛。\!,"Map112.json,events,3,pages,0,list,190,parameters,0"
呼呼！呼呼！喘着粗气的样子,"Map112.json,events,3,pages,0,list,191,parameters,0"
比任何动物都更具兽性的雄性。,"Map112.json,events,3,pages,0,list,192,parameters,0"
