阿姨,"Map113.json,events,2,name"
守卫,"Map113.json,events,3,name"
孩子1,"Map113.json,events,4,name"
男人,"Map113.json,events,6,name"
女孩子,"Map113.json,events,7,pages,0,list,6,parameters,0"
「嘿嘿，然后呢～」,"Map113.json,events,7,pages,0,list,7,parameters,0"
「哎呀～真的吗？,"Map113.json,events,7,pages,0,list,10,parameters,0"
有个长着翅膀的女人？」,"Map113.json,events,7,pages,0,list,11,parameters,0"
女孩子,"Map113.json,events,7,pages,0,list,13,parameters,0"
「那个，绝对是真的！,"Map113.json,events,7,pages,0,list,14,parameters,0"
因为她的翅膀扑通扑通地动了起来」,"Map113.json,events,7,pages,0,list,15,parameters,0"
「我的尾巴和她的哪个动了～？」,"Map113.json,events,7,pages,0,list,18,parameters,0"
女孩子,"Map113.json,events,7,pages,0,list,20,parameters,0"
「嗯～……。,"Map113.json,events,7,pages,0,list,21,parameters,0"
\C[27]千佳\C[0]酱的尾巴动得比较多吧」,"Map113.json,events,7,pages,0,list,22,parameters,0"
千佳,"Map113.json,events,7,pages,0,list,27,parameters,0"
「真的吗？太好了♪」,"Map113.json,events,7,pages,0,list,28,parameters,0"
男人的声音,"Map113.json,events,7,pages,0,list,30,parameters,0"
「喂喂，千佳～！」,"Map113.json,events,7,pages,0,list,31,parameters,0"
千佳,"Map113.json,events,7,pages,0,list,54,parameters,0"
「啊，爸爸～！」,"Map113.json,events,7,pages,0,list,55,parameters,0"
敏明,"Map113.json,events,7,pages,0,list,57,parameters,0"
「差不多该吃饭了，所以来接你们了。,"Map113.json,events,7,pages,0,list,58,parameters,0"
好了，我们走吧」,"Map113.json,events,7,pages,0,list,59,parameters,0"
千佳,"Map113.json,events,7,pages,0,list,61,parameters,0"
「好的！」,"Map113.json,events,7,pages,0,list,62,parameters,0"
千佳,"Map113.json,events,7,pages,0,list,66,parameters,0"
「再见～♪」,"Map113.json,events,7,pages,0,list,67,parameters,0"
女孩子,"Map113.json,events,7,pages,0,list,71,parameters,0"
「嗯！再见～」,"Map113.json,events,7,pages,0,list,72,parameters,0"
敏明,"Map113.json,events,8,name"
