大妖狐大人,"Map147.json,events,1,name"
\C[27]清彦,"Map147.json,events,2,pages,0,list,7,parameters,0"
「……呜呜」,"Map147.json,events,2,pages,0,list,8,parameters,0"
大妖狐,"Map147.json,events,2,pages,0,list,10,parameters,0"
「早上好，清彦君。身体怎么样？」,"Map147.json,events,2,pages,0,list,11,parameters,0"
她试图回头看声音的来源，身体动了一下。,"Map147.json,events,2,pages,0,list,17,parameters,0"
尾巴夹在背后摩擦着,"Map147.json,events,2,pages,0,list,18,parameters,0"
她全身又一次颤抖了起来。,"Map147.json,events,2,pages,0,list,19,parameters,0"
大妖狐,"Map147.json,events,2,pages,0,list,21,parameters,0"
“没事吧，好像不太好……,"Map147.json,events,2,pages,0,list,22,parameters,0"
总之先试着脱掉皮吧？”,"Map147.json,events,2,pages,0,list,23,parameters,0"
只是被站在背后而已，却感觉到了一股寒意。,"Map147.json,events,2,pages,0,list,33,parameters,0"
\!记起了那件事。,"Map147.json,events,2,pages,0,list,34,parameters,0"
尾巴被充分利用,"Map147.json,events,2,pages,0,list,35,parameters,0"
发出无声的声音。,"Map147.json,events,2,pages,0,list,36,parameters,0"
全身颤抖着，尾巴再次竖立起来。,"Map147.json,events,2,pages,0,list,38,parameters,0"
是因为创伤吗,"Map147.json,events,2,pages,0,list,39,parameters,0"
还是，想再次体验一次呢。,"Map147.json,events,2,pages,0,list,40,parameters,0"
她自己也不太清楚。,"Map147.json,events,2,pages,0,list,41,parameters,0"
大妖狐,"Map147.json,events,2,pages,0,list,45,parameters,0"
“……嗯？”,"Map147.json,events,2,pages,0,list,46,parameters,0"
‘那个’到底是什么。,"Map147.json,events,2,pages,0,list,48,parameters,0"
拉链卡住了，有困扰吗。,"Map147.json,events,2,pages,0,list,49,parameters,0"
但是感觉不到有人在后面拉着。,"Map147.json,events,2,pages,0,list,50,parameters,0"
大妖狐,"Map147.json,events,2,pages,0,list,53,parameters,0"
“拉链……\.\.\.\.\.\.没有？”,"Map147.json,events,2,pages,0,list,54,parameters,0"
\C[27]清彦,"Map147.json,events,2,pages,0,list,56,parameters,0"
“诶――？”,"Map147.json,events,2,pages,0,list,57,parameters,0"
这个人在说什么呢。,"Map147.json,events,2,pages,0,list,59,parameters,0"
\!绝对不可能发生这种事。轻轻触碰着脖子。,"Map147.json,events,2,pages,0,list,60,parameters,0"
嗯？\.\.\.嗯？？？\.\.\.\.\.嗯嗯？？？？？？\!,"Map147.json,events,2,pages,0,list,64,parameters,0"
无法触碰到软软的东西。,"Map147.json,events,2,pages,0,list,65,parameters,0"
难道是拉链的银拉环掉了吗？,"Map147.json,events,2,pages,0,list,66,parameters,0"
不，应该还是可以解开的。,"Map147.json,events,2,pages,0,list,68,parameters,0"
\!可是……为什么没有锯齿状的拉链部分。,"Map147.json,events,2,pages,0,list,69,parameters,0"
多次触摸，只能触摸到柔软的皮肤。,"Map147.json,events,2,pages,0,list,70,parameters,0"
到底发生了什么，正在发生什么。,"Map147.json,events,2,pages,0,list,72,parameters,0"
无法理解。,"Map147.json,events,2,pages,0,list,73,parameters,0"
这时，尾巴被大妖狐的脸蹭到,"Map147.json,events,2,pages,0,list,74,parameters,0"
她又一次颤抖了起来。,"Map147.json,events,2,pages,0,list,75,parameters,0"
大妖狐,"Map147.json,events,2,pages,0,list,77,parameters,0"
“这有点出乎意料……。,"Map147.json,events,2,pages,0,list,78,parameters,0"
无法脱下来，我可没听说过……。\!,"Map147.json,events,2,pages,0,list,79,parameters,0"
对不起清彦君！这个……”,"Map147.json,events,2,pages,0,list,80,parameters,0"
大妖狐,"Map147.json,events,2,pages,0,list,82,parameters,0"
“……可能不行呢。”,"Map147.json,events,2,pages,0,list,83,parameters,0"
不行。\!,"Map147.json,events,2,pages,0,list,87,parameters,0"
也就是说。,"Map147.json,events,2,pages,0,list,88,parameters,0"
\C[27]清彦,"Map147.json,events,2,pages,0,list,90,parameters,0"
“一辈子，\.\.\.\C[18]穿着皮肤\C[27]……\.\.\.这样的话，\.\.\.是吗？”,"Map147.json,events,2,pages,0,list,91,parameters,0"
大妖狐把脸转向一边，露出悲伤的表情。,"Map147.json,events,2,pages,0,list,94,parameters,0"
透露出绝望的氛围。\!,"Map147.json,events,2,pages,0,list,95,parameters,0"
这个皮肤本来是可以脱下来的……大概。,"Map147.json,events,2,pages,0,list,96,parameters,0"
总觉得是这样。,"Map147.json,events,2,pages,0,list,97,parameters,0"
头晕。\.\.\.视野晃动。,"Map147.json,events,2,pages,0,list,102,parameters,0"
震惊到无法思考。,"Map147.json,events,2,pages,0,list,103,parameters,0"
\!……她已经失去了意识，发生了足够的事情。,"Map147.json,events,2,pages,0,list,104,parameters,0"
大妖狐,"Map147.json,events,2,pages,0,list,106,parameters,0"
“哇哇哇！,"Map147.json,events,2,pages,0,list,107,parameters,0"
清彦君！？真的对不起！,"Map147.json,events,2,pages,0,list,108,parameters,0"
对不起啊啊啊啊！！！”,"Map147.json,events,2,pages,0,list,109,parameters,0"
