男エルフ,"Map152.json,events,1,name"
\C[27]清彦,"Map152.json,events,1,pages,0,list,1,parameters,0"
「为什么树上结满了雪……！？」,"Map152.json,events,1,pages,0,list,2,parameters,0"
男性精灵,"Map152.json,events,1,pages,0,list,4,parameters,0"
「呼……进展顺利啊。,"Map152.json,events,1,pages,0,list,5,parameters,0"
嗯？大妖狐小姐，你知道这个吗？」,"Map152.json,events,1,pages,0,list,6,parameters,0"
男性精灵,"Map152.json,events,1,pages,0,list,8,parameters,0"
「对了，是你的妹妹吧。,"Map152.json,events,1,pages,0,list,9,parameters,0"
这个是『传说中的蔬菜之树』,"Map152.json,events,1,pages,0,list,10,parameters,0"
再过三年就能结果了吧」,"Map152.json,events,1,pages,0,list,11,parameters,0"
男性精灵,"Map152.json,events,1,pages,0,list,13,parameters,0"
「时间还很充裕呢。,"Map152.json,events,1,pages,0,list,14,parameters,0"
要慢慢地，慢慢地培养才行」,"Map152.json,events,1,pages,0,list,15,parameters,0"
\C[27]清彦,"Map152.json,events,1,pages,0,list,18,parameters,0"
「（这就是那个绿发男子说的……。,"Map152.json,events,1,pages,0,list,19,parameters,0"
但是，不能说在这里……吧）」,"Map152.json,events,1,pages,0,list,20,parameters,0"
男性,"Map152.json,events,1,pages,0,list,24,parameters,0"
「这个果实非常美味。,"Map152.json,events,1,pages,0,list,25,parameters,0"
可能比油炸豆腐还好吃……？」,"Map152.json,events,1,pages,0,list,26,parameters,0"
胜过那个油炸豆腐。,"Map152.json,events,1,pages,0,list,28,parameters,0"
对于这个词非常期待。,"Map152.json,events,1,pages,0,list,29,parameters,0"
……但是三年后它可能会恢复原样。,"Map152.json,events,1,pages,0,list,30,parameters,0"
\C[27]清彦,"Map152.json,events,1,pages,0,list,32,parameters,0"
「是的……,"Map152.json,events,1,pages,0,list,33,parameters,0"
我会期待的」,"Map152.json,events,1,pages,0,list,34,parameters,0"
遗憾的是似乎没有机会品尝这个。,"Map152.json,events,1,pages,0,list,36,parameters,0"
一边聊天，一边非常遗憾地垂下耳朵和尾巴。,"Map152.json,events,1,pages,0,list,37,parameters,0"
男性精灵,"Map152.json,events,1,pages,1,list,1,parameters,0"
「呼……顺利顺利」,"Map152.json,events,1,pages,1,list,2,parameters,0"
\C[27]清彦,"Map152.json,events,2,pages,0,list,2,parameters,0"
「（糟……糟了。,"Map152.json,events,2,pages,0,list,3,parameters,0"
真的来了，真的来了）」,"Map152.json,events,2,pages,0,list,4,parameters,0"
精灵在拍卖会上能卖出很高的价钱。,"Map152.json,events,2,pages,0,list,6,parameters,0"
甚至比那把短刀还要显眼。,"Map152.json,events,2,pages,0,list,7,parameters,0"
