可疑的大叔,"Map172.json,events,1,name"
\C[27]清香,"Map172.json,events,2,pages,0,list,13,parameters,0"
「在这里应该没问题……吧？」,"Map172.json,events,2,pages,0,list,14,parameters,0"
落地、飞行时尽量远离城市。,"Map172.json,events,2,pages,0,list,16,parameters,0"
不要吓到人。,"Map172.json,events,2,pages,0,list,17,parameters,0"
她自己这样想着并付诸行动。,"Map172.json,events,2,pages,0,list,18,parameters,0"
到门禁时间还有余裕。慢慢来吧。,"Map172.json,events,2,pages,0,list,19,parameters,0"
\C[27]清香,"Map172.json,events,2,pages,0,list,23,parameters,0"
「大妖狐的家……在那边」,"Map172.json,events,2,pages,0,list,24,parameters,0"
比自己的家更北面的山顶。,"Map172.json,events,2,pages,0,list,26,parameters,0"
如果步行的话会相当辛苦。,"Map172.json,events,2,pages,0,list,27,parameters,0"
但是……如果飞过去的话，只需要几分钟。,"Map172.json,events,2,pages,0,list,28,parameters,0"
\C[27]清香,"Map172.json,events,2,pages,0,list,31,parameters,0"
「嗯～……」,"Map172.json,events,2,pages,0,list,32,parameters,0"
用力集中在背部和双脚上。,"Map172.json,events,2,pages,0,list,34,parameters,0"
像是在飞翔一样扇动翅膀。,"Map172.json,events,2,pages,0,list,35,parameters,0"
保持这个意象非常重要。,"Map172.json,events,2,pages,0,list,36,parameters,0"
但是，并不是立刻就能飞起来。,"Map172.json,events,2,pages,0,list,37,parameters,0"
偶尔也会失败。,"Map172.json,events,2,pages,0,list,39,parameters,0"
但是，一旦飞起来就没问题了。,"Map172.json,events,2,pages,0,list,40,parameters,0"
\!飞行……飞行……。,"Map172.json,events,2,pages,0,list,41,parameters,0"
――就在那时。,"Map172.json,events,2,pages,0,list,47,parameters,0"
\!噗嗤一声，碰到了她的后脖子。,"Map172.json,events,2,pages,0,list,48,parameters,0"
为了不用爪子伤害自己，轻轻地触碰。,"Map172.json,events,2,pages,0,list,49,parameters,0"
似乎是个尖锐的小东西。,"Map172.json,events,2,pages,0,list,50,parameters,0"
\C[27]清香,"Map172.json,events,2,pages,0,list,55,parameters,0"
「……这是什么？」,"Map172.json,events,2,pages,0,list,56,parameters,0"
并没有特别疼痛。,"Map172.json,events,2,pages,0,list,58,parameters,0"
如果是龙娘的皮肤的话可能会很痛。,"Map172.json,events,2,pages,0,list,59,parameters,0"
现在的她不仅有鳞片,"Map172.json,events,2,pages,0,list,60,parameters,0"
连柔软的皮肤部分也相当坚硬。,"Map172.json,events,2,pages,0,list,61,parameters,0"
是什么东西飞过来，碰巧刺到了吧。,"Map172.json,events,2,pages,0,list,65,parameters,0"
不把它拔出来，等到对方来拔出来就好了。,"Map172.json,events,2,pages,0,list,66,parameters,0"
这样想着，她再次集中注意力……\!但是。,"Map172.json,events,2,pages,0,list,67,parameters,0"
\C[27]清香,"Map172.json,events,2,pages,0,list,73,parameters,0"
「啊\.\.…\.\.…\.\.\.呜\.\.啊\.\.…\.\.\.」,"Map172.json,events,2,pages,0,list,74,parameters,0"
晃动。\.\.\.\.意识摇晃。,"Map172.json,events,2,pages,0,list,80,parameters,0"
视线无法聚焦。感觉不舒服。,"Map172.json,events,2,pages,0,list,81,parameters,0"
全身失去力量，倒在地上。,"Map172.json,events,2,pages,0,list,82,parameters,0"
发生了什么……无法理解。,"Map172.json,events,2,pages,0,list,84,parameters,0"
身体麻痹。意识逐渐模糊。,"Map172.json,events,2,pages,0,list,85,parameters,0"
听到沙沙的植物摇晃声,"Map172.json,events,2,pages,0,list,86,parameters,0"
和人走路的声音。,"Map172.json,events,2,pages,0,list,87,parameters,0"
男性,"Map172.json,events,2,pages,0,list,99,parameters,0"
「呼……幸好预先使用了强力药物。,"Map172.json,events,2,pages,0,list,100,parameters,0"
如果是人类的话，一秒钟都坚持不住，但你却能忍受十秒以上」,"Map172.json,events,2,pages,0,list,101,parameters,0"
男性,"Map172.json,events,2,pages,0,list,103,parameters,0"
「这可真是个意外之财。,"Map172.json,events,2,pages,0,list,104,parameters,0"
因为是从未见过的魔物娘，所以应该能卖个好价钱。,"Map172.json,events,2,pages,0,list,105,parameters,0"
谢谢你，小姐。为了自己的不幸而祈愿吧」,"Map172.json,events,2,pages,0,list,106,parameters,0"
最后她看到的是……。,"Map172.json,events,2,pages,0,list,108,parameters,0"
在那个城市看到的穿着黑色大衣的可疑男子。,"Map172.json,events,2,pages,0,list,109,parameters,0"
那个男子得意地笑着，刚抬起她的身体,"Map172.json,events,2,pages,0,list,110,parameters,0"
她的意识就消失在黑暗中……。,"Map172.json,events,2,pages,0,list,111,parameters,0"
