棕色的老头子,"Map181.json,events,2,name"
男A,"Map181.json,events,3,pages,0,list,2,parameters,0"
“可……可恶”,"Map181.json,events,3,pages,0,list,3,parameters,0"
龙娘,"Map181.json,events,3,pages,0,list,7,parameters,0"
「晕倒了吗」,"Map181.json,events,3,pages,0,list,8,parameters,0"
龙娘,"Map181.json,events,3,pages,0,list,12,parameters,0"
「回家吧，清香。,"Map181.json,events,3,pages,0,list,13,parameters,0"
吸血姬和大妖狐都在甲板上。,"Map181.json,events,3,pages,0,list,14,parameters,0"
两个人都很担心你呢」,"Map181.json,events,3,pages,0,list,15,parameters,0"
\C[27]清香,"Map181.json,events,3,pages,0,list,17,parameters,0"
「......嗯」,"Map181.json,events,3,pages,0,list,18,parameters,0"
龙娘,"Map181.json,events,3,pages,0,list,22,parameters,0"
「妖精小姐也没关系吧？」,"Map181.json,events,3,pages,0,list,23,parameters,0"
菲尔,"Map181.json,events,3,pages,0,list,28,parameters,0"
「当然了，谢谢！」,"Map181.json,events,3,pages,0,list,29,parameters,0"
龙娘,"Map181.json,events,3,pages,0,list,49,parameters,0"
「怎么了，清香？」,"Map181.json,events,3,pages,0,list,50,parameters,0"
力气没了。,"Map181.json,events,3,pages,0,list,53,parameters,0"
刚才还那么激烈地动来动去。\!,"Map181.json,events,3,pages,0,list,54,parameters,0"
生死交战结束后,"Map181.json,events,3,pages,0,list,55,parameters,0"
松了口气，身体完全不动了。,"Map181.json,events,3,pages,0,list,56,parameters,0"
\C[27]清香,"Map181.json,events,3,pages,0,list,58,parameters,0"
「那个......有点虚弱」,"Map181.json,events,3,pages,0,list,59,parameters,0"
龙娘,"Map181.json,events,3,pages,0,list,62,parameters,0"
「抱歉，妖精小姐。,"Map181.json,events,3,pages,0,list,63,parameters,0"
先上甲板等我一下，我有伙伴在那里」,"Map181.json,events,3,pages,0,list,64,parameters,0"
菲尔,"Map181.json,events,3,pages,0,list,68,parameters,0"
「好，好的」,"Map181.json,events,3,pages,0,list,69,parameters,0"
\C[27]清香,"Map181.json,events,3,pages,0,list,80,parameters,0"
「那个......对不起，妈妈」,"Map181.json,events,3,pages,0,list,81,parameters,0"
龙娘,"Map181.json,events,3,pages,0,list,83,parameters,0"
「嗯？」,"Map181.json,events,3,pages,0,list,84,parameters,0"
\C[27]清香,"Map181.json,events,3,pages,0,list,86,parameters,0"
「我被抓走了......。,"Map181.json,events,3,pages,0,list,87,parameters,0"
如果我做得更好，就不会发生这样的事。,"Map181.json,events,3,pages,0,list,88,parameters,0"
给你添麻烦了......对不起」,"Map181.json,events,3,pages,0,list,89,parameters,0"
噗。她把右手放在她头上,"Map181.json,events,3,pages,0,list,92,parameters,0"
龙娘慢慢地微笑着。,"Map181.json,events,3,pages,0,list,93,parameters,0"
那是她从蛋里出来时看到的,"Map181.json,events,3,pages,0,list,94,parameters,0"
和女性一样温柔的笑容。,"Map181.json,events,3,pages,0,list,95,parameters,0"
龙娘,"Map181.json,events,3,pages,0,list,97,parameters,0"
「不要道歉，应该说谢谢。」,"Map181.json,events,3,pages,0,list,98,parameters,0"
「而且......我没有陪在你身边，是我的错。,"Map181.json,events,3,pages,0,list,99,parameters,0"
作为母亲，作为父亲，我都不合格。对不起，清香」,"Map181.json,events,3,pages,0,list,100,parameters,0"
\C[27]清香,"Map181.json,events,3,pages,0,list,102,parameters,0"
「嗯......谢谢，妈妈」,"Map181.json,events,3,pages,0,list,103,parameters,0"
