白色哈比,"Map185.json,events,1,name"
黑色哈比,"Map185.json,events,2,name"
清彦,"Map185.json,events,7,pages,0,list,20,parameters,0"
「（那是……）」,"Map185.json,events,7,pages,0,list,21,parameters,0"
匆忙地躲到树荫下，观察眼前的景象。\!,"Map185.json,events,7,pages,0,list,26,parameters,0"
……黑哈比和白哈比似乎在交配。,"Map185.json,events,7,pages,0,list,27,parameters,0"
清彦,"Map185.json,events,7,pages,0,list,29,parameters,0"
「（黑的让白的产卵。,"Map185.json,events,7,pages,0,list,30,parameters,0"
听说过这样的繁殖方式……但是第一次亲眼见到）」,"Map185.json,events,7,pages,0,list,31,parameters,0"
两只哈比都全神贯注，完全没有注意到周围。,"Map185.json,events,7,pages,0,list,33,parameters,0"
实际上，他发出了很大的脚步声，但完全没有察觉。,"Map185.json,events,7,pages,0,list,34,parameters,0"
清彦,"Map185.json,events,7,pages,0,list,36,parameters,0"
「（看起来黑的一方攻击白的一方。,"Map185.json,events,7,pages,0,list,37,parameters,0"
……被做的一方真是辛苦啊）」,"Map185.json,events,7,pages,0,list,38,parameters,0"
白哈比偶尔发出痛苦的声音。,"Map185.json,events,7,pages,0,list,40,parameters,0"
黑哈比则毫不理会地摇动腰部。,"Map185.json,events,7,pages,0,list,41,parameters,0"
……他想着。还好自己没有成为哈比。,"Map185.json,events,7,pages,0,list,42,parameters,0"
清彦,"Map185.json,events,7,pages,0,list,45,parameters,0"
「（……要小心不要刺激她）」,"Map185.json,events,7,pages,0,list,46,parameters,0"
无视两只，继续前进。,"Map185.json,events,7,pages,0,list,64,parameters,0"
虽然回去的时候也得经过这里,"Map185.json,events,7,pages,0,list,65,parameters,0"
但希望那时已经结束了。,"Map185.json,events,7,pages,0,list,66,parameters,0"
