可以移动到地图最深处。,"Map186.json,events,1,pages,0,list,1,parameters,0"
要移动吗？（单程票）,"Map186.json,events,1,pages,0,list,2,parameters,0"
是,"Map186.json,events,1,pages,0,list,3,parameters,0,0"
否,"Map186.json,events,1,pages,0,list,3,parameters,0,1"
是,"Map186.json,events,1,pages,0,list,4,parameters,1"
否,"Map186.json,events,1,pages,0,list,8,parameters,1"
黑色哈比,"Map186.json,events,2,name"
黑哈比,"Map186.json,events,2,pages,0,list,1,parameters,0"
清彦,"Map186.json,events,2,pages,0,list,4,parameters,0"
「（看向这边……看起来没问题。,"Map186.json,events,2,pages,0,list,5,parameters,0"
感觉不到敌意）」,"Map186.json,events,2,pages,0,list,6,parameters,0"
清彦,"Map186.json,events,3,pages,0,list,1,parameters,0"
「还是不要往那边走了」,"Map186.json,events,3,pages,0,list,2,parameters,0"
清彦,"Map186.json,events,4,pages,0,list,1,parameters,0"
「还是不要往那边走了」,"Map186.json,events,4,pages,0,list,2,parameters,0"
清彦,"Map186.json,events,5,pages,0,list,1,parameters,0"
「还是不要往那边走了」,"Map186.json,events,5,pages,0,list,2,parameters,0"
黑色哈比,"Map186.json,events,14,name"
黑哈比,"Map186.json,events,14,pages,0,list,1,parameters,0"
清彦,"Map186.json,events,14,pages,0,list,4,parameters,0"
「（看向这边……看起来没问题。,"Map186.json,events,14,pages,0,list,5,parameters,0"
感觉不到敌意）」,"Map186.json,events,14,pages,0,list,6,parameters,0"
黑色哈比,"Map186.json,events,15,name"
黑哈比,"Map186.json,events,15,pages,0,list,1,parameters,0"
清彦,"Map186.json,events,15,pages,0,list,4,parameters,0"
「（看向这边……看起来没问题。,"Map186.json,events,15,pages,0,list,5,parameters,0"
感觉不到敌意）」,"Map186.json,events,15,pages,0,list,6,parameters,0"
黑色哈比,"Map186.json,events,16,name"
黑哈比,"Map186.json,events,16,pages,0,list,1,parameters,0"
清彦,"Map186.json,events,16,pages,0,list,4,parameters,0"
「（看向这边……看起来没问题。,"Map186.json,events,16,pages,0,list,5,parameters,0"
感觉不到敌意）」,"Map186.json,events,16,pages,0,list,6,parameters,0"
黑色哈比,"Map186.json,events,17,name"
黑哈比,"Map186.json,events,17,pages,0,list,1,parameters,0"
清彦,"Map186.json,events,17,pages,0,list,4,parameters,0"
「（看向这边……看起来没问题。,"Map186.json,events,17,pages,0,list,5,parameters,0"
感觉不到敌意）」,"Map186.json,events,17,pages,0,list,6,parameters,0"
