黑色哈比鸟A,"Map191.json,events,7,name"
黑哈比,"Map191.json,events,7,pages,0,list,1,parameters,0"
\C[27]清彦,"Map191.json,events,7,pages,0,list,4,parameters,0"
「（看向这边，应该没问题吧，感觉不到敌意）」,"Map191.json,events,7,pages,0,list,5,parameters,0"
\C[27]清彦,"Map191.json,events,7,pages,1,list,17,parameters,0"
「呜啊……！」,"Map191.json,events,7,pages,1,list,18,parameters,0"
被黑色哈比鸟缠住，想要逃跑——。,"Map191.json,events,7,pages,1,list,20,parameters,0"
但被它锐利的双脚踢飞了。,"Map191.json,events,7,pages,1,list,21,parameters,0"
\C[18]用\C[0]手臂\C[18]翻滚以避开,"Map191.json,events,7,pages,1,list,23,parameters,0"
立刻站起来，再次试图逃跑。\!,"Map191.json,events,7,pages,1,list,24,parameters,0"
但是，用\C[18]翅膀\C[0]无法做出正常的翻滚。,"Map191.json,events,7,pages,1,list,25,parameters,0"
\C[27]清彦,"Map191.json,events,7,pages,1,list,27,parameters,0"
「糟了……！」,"Map191.json,events,7,pages,1,list,28,parameters,0"
明明已经做出了翻滚，却无情地倒在草地上，,"Map191.json,events,7,pages,1,list,30,parameters,0"
自己的\C[18]手臂\C[0]弯曲到了人类不可能的角度。,"Map191.json,events,7,pages,1,list,31,parameters,0"
然而，奇怪的是没有感到疼痛。,"Map191.json,events,7,pages,1,list,32,parameters,0"
当然，人类的手臂和翅膀的关节完全不同。,"Map191.json,events,7,pages,1,list,33,parameters,0"
\C[27]清彦,"Map191.json,events,7,pages,1,list,35,parameters,0"
「（因为身体和平时不一样……！）」,"Map191.json,events,7,pages,1,list,36,parameters,0"
被击飞的同时，利用手臂和腿做出翻滚动作,"Map191.json,events,7,pages,1,list,38,parameters,0"
迅速地站起来逃跑。\!,"Map191.json,events,7,pages,1,list,39,parameters,0"
但是这个动作完全无法进行。,"Map191.json,events,7,pages,1,list,40,parameters,0"
拥有关节的双腿，使用起来完全不同。,"Map191.json,events,7,pages,1,list,41,parameters,0"
如果是哈比的话，应该可以飞起来吧。,"Map191.json,events,7,pages,1,list,43,parameters,0"
在她慌乱之际，倒在背上的她面前——。,"Map191.json,events,7,pages,1,list,44,parameters,0"
黑色哈比,"Map191.json,events,7,pages,1,list,46,parameters,0"
