魅魔化する男（EDに設置するかも）,"Map218.json,events,1,name"
\C[27]魅魔,"Map218.json,events,1,pages,0,list,3,parameters,0"
「找到了♡」,"Map218.json,events,1,pages,0,list,4,parameters,0"
男性,"Map218.json,events,1,pages,0,list,6,parameters,0"
「呜……呜呜！！！」,"Map218.json,events,1,pages,0,list,7,parameters,0"
她用右手支撑着丰满的胸部，左手指搭在下巴上,"Map218.json,events,1,pages,0,list,10,parameters,0"
舔了舔嘴唇。,"Map218.json,events,1,pages,0,list,11,parameters,0"
\!每当考虑如何享用这顿美食时,"Map218.json,events,1,pages,0,list,12,parameters,0"
她的羽毛和尾巴都会摇摆不定。,"Map218.json,events,1,pages,0,list,13,parameters,0"
男性,"Map218.json,events,1,pages,0,list,15,parameters,0"
「有……有人，请救救我！」,"Map218.json,events,1,pages,0,list,16,parameters,0"
\C[27]魅魔,"Map218.json,events,1,pages,0,list,18,parameters,0"
「不要逃♪\.\.并不是要你死。,"Map218.json,events,1,pages,0,list,19,parameters,0"
你也不只是会变成魅魔而已♪」,"Map218.json,events,1,pages,0,list,20,parameters,0"
男性,"Map218.json,events,1,pages,0,list,22,parameters,0"
「别吵了！别过来，怪物！」,"Map218.json,events,1,pages,0,list,23,parameters,0"
\C[27]魅魔,"Map218.json,events,1,pages,0,list,25,parameters,0"
「那样的怪物也是最棒的♪,"Map218.json,events,1,pages,0,list,26,parameters,0"
只需顺从本能，随心所欲……♡」,"Map218.json,events,1,pages,0,list,27,parameters,0"
双手交叉于后脑勺,"Map218.json,events,1,pages,0,list,29,parameters,0"
她展示着自己变得面目全非的身体给男人看。,"Map218.json,events,1,pages,0,list,30,parameters,0"
被恐惧笼罩，只能发出咒骂和惨叫,"Map218.json,events,1,pages,0,list,31,parameters,0"
男人的目光注视着她的胸部和下体。,"Map218.json,events,1,pages,0,list,32,parameters,0"
男人,"Map218.json,events,1,pages,0,list,35,parameters,0"
「你……你也是人类吧！？,"Map218.json,events,1,pages,0,list,36,parameters,0"
真的没问题吗，不觉得可悲吗！」,"Map218.json,events,1,pages,0,list,37,parameters,0"
\C[27]魅魔,"Map218.json,events,1,pages,0,list,39,parameters,0"
「是呢……一点都不可悲。,"Map218.json,events,1,pages,0,list,40,parameters,0"
魅魔的身体比人类男人强大多了♪」,"Map218.json,events,1,pages,0,list,41,parameters,0"
\C[27]魅魔,"Map218.json,events,1,pages,0,list,44,parameters,0"
「不需要害怕……♡,"Map218.json,events,1,pages,0,list,45,parameters,0"
你也很快就会\C[18]幸福\C[27]的。\.\.,"Map218.json,events,1,pages,0,list,46,parameters,0"
因为你什么都不用考虑」,"Map218.json,events,1,pages,0,list,47,parameters,0"
尾巴轻轻摆动,"Map218.json,events,1,pages,0,list,50,parameters,0"
男人的恐惧达到了顶点。,"Map218.json,events,1,pages,0,list,51,parameters,0"
男人,"Map218.json,events,1,pages,0,list,61,parameters,0"
「呜啊啊啊啊啊啊！！！！！！」,"Map218.json,events,1,pages,0,list,62,parameters,0"
男人试图逃向后方，却只有墙壁。,"Map218.json,events,1,pages,0,list,64,parameters,0"
看到这样的情景，她再次舔了舔嘴唇。,"Map218.json,events,1,pages,0,list,65,parameters,0"
居然能享受到这样的美味——。,"Map218.json,events,1,pages,0,list,66,parameters,0"
\C[27]魅魔,"Map218.json,events,1,pages,0,list,68,parameters,0"
「成为魅魔……真是太好了……♡」,"Map218.json,events,1,pages,0,list,69,parameters,0"
她用手臂和腿抑制住男人，防止他暴动。,"Map218.json,events,1,pages,0,list,74,parameters,0"
尽管如此，男人还是拼命挣扎,"Map218.json,events,1,pages,0,list,75,parameters,0"
但一点反应都没有……,"Map218.json,events,1,pages,0,list,76,parameters,0"
人类真是弱小可悲啊。,"Map218.json,events,1,pages,0,list,77,parameters,0"
