建造栅栏的男子,"Map226.json,events,1,name"
男人,"Map226.json,events,2,pages,0,list,1,parameters,0"
「我，我不要……不想变成那种怪物……！」,"Map226.json,events,2,pages,0,list,2,parameters,0"
清彦,"Map226.json,events,2,pages,0,list,4,parameters,0"
「对不起，你还好吗……？」,"Map226.json,events,2,pages,0,list,5,parameters,0"
男人,"Map226.json,events,2,pages,0,list,10,parameters,0"
「呃……！,"Map226.json,events,2,pages,0,list,11,parameters,0"
啊……你，你是人类吗……。,"Map226.json,events,2,pages,0,list,12,parameters,0"
太好了，我还以为是它们呢」,"Map226.json,events,2,pages,0,list,13,parameters,0"
清彦,"Map226.json,events,2,pages,0,list,15,parameters,0"
「你能动吗？,"Map226.json,events,2,pages,0,list,16,parameters,0"
它们很快就会来到这里。,"Map226.json,events,2,pages,0,list,17,parameters,0"
我们得赶紧逃出去」,"Map226.json,events,2,pages,0,list,18,parameters,0"
男人,"Map226.json,events,2,pages,0,list,20,parameters,0"
「逃出去也没用……我该往哪逃！,"Map226.json,events,2,pages,0,list,21,parameters,0"
我不会动的！如果你想逃就随便你……！」,"Map226.json,events,2,pages,0,list,22,parameters,0"
男人再次转过身，蜷缩起来。,"Map226.json,events,2,pages,0,list,27,parameters,0"
……不行，没有时间去劝说他了。,"Map226.json,events,2,pages,0,list,28,parameters,0"
清彦,"Map226.json,events,2,pages,0,list,30,parameters,0"
「（……只能放任不管了吗）」,"Map226.json,events,2,pages,0,list,31,parameters,0"
他站起身，走向帐篷外。,"Map226.json,events,2,pages,0,list,35,parameters,0"
目标是城市外。,"Map226.json,events,2,pages,0,list,36,parameters,0"
男人,"Map226.json,events,2,pages,1,list,1,parameters,0"
「别管我……！」,"Map226.json,events,2,pages,1,list,2,parameters,0"
男人,"Map226.json,events,2,pages,2,list,2,parameters,0"
「我，我不要……不想变成那种怪物……！」,"Map226.json,events,2,pages,2,list,3,parameters,0"
\C[27]魅魔,"Map226.json,events,2,pages,2,list,5,parameters,0"
「对不起，你还好吗？」,"Map226.json,events,2,pages,2,list,6,parameters,0"
男人,"Map226.json,events,2,pages,2,list,11,parameters,0"
「我说别管我……\.\.\.呃！！！」,"Map226.json,events,2,pages,2,list,12,parameters,0"
男人,"Map226.json,events,2,pages,2,list,17,parameters,0"
「呃……\.\.呃！！！」,"Map226.json,events,2,pages,2,list,18,parameters,0"
\C[27]魅魔,"Map226.json,events,2,pages,2,list,22,parameters,0"
「没必要那么害怕嘛」,"Map226.json,events,2,pages,2,list,23,parameters,0"
正面的男人身体颤抖着。,"Map226.json,events,2,pages,2,list,25,parameters,0"
就像刚出生的小鹿一样。,"Map226.json,events,2,pages,2,list,26,parameters,0"
为什么会颤抖呢？,"Map226.json,events,2,pages,2,list,28,parameters,0"
明明不会死，美好的世界在等着他们。,"Map226.json,events,2,pages,2,list,29,parameters,0"
\C[27]魅魔,"Map226.json,events,2,pages,2,list,31,parameters,0"
「不用害怕……♡,"Map226.json,events,2,pages,2,list,32,parameters,0"
我会带你去魅魔的世界的……♪」,"Map226.json,events,2,pages,2,list,33,parameters,0"
