魅魔清彦,"Map230.json,events,1,name"
教堂的人,"Map230.json,events,10,pages,0,list,2,parameters,0"
「哈……哈……。,"Map230.json,events,10,pages,0,list,3,parameters,0"
总算稍微安心下来了……吧」,"Map230.json,events,10,pages,0,list,4,parameters,0"
教堂的人设法逃到了这里。,"Map230.json,events,10,pages,0,list,13,parameters,0"
用特殊的魔法封锁了入口，只能等待救援。,"Map230.json,events,10,pages,0,list,14,parameters,0"
教堂的人,"Map230.json,events,10,pages,0,list,16,parameters,0"
「……师傅」,"Map230.json,events,10,pages,0,list,17,parameters,0"
坐在魔法阵前，低声念着恩师的名字。,"Map230.json,events,10,pages,0,list,19,parameters,0"
如果是会使用传送魔法的师傅,"Map230.json,events,10,pages,0,list,20,parameters,0"
他一定会察觉到这个事件，拯救自己……。,"Map230.json,events,10,pages,0,list,21,parameters,0"
只能抱着这微弱的希望。,"Map230.json,events,10,pages,0,list,22,parameters,0"
教堂的人,"Map230.json,events,10,pages,0,list,24,parameters,0"
「没有办法与外界联系。,"Map230.json,events,10,pages,0,list,25,parameters,0"
所以，只能忍耐等待那些魔物娘的到来」,"Map230.json,events,10,pages,0,list,26,parameters,0"
教堂的人,"Map230.json,events,10,pages,0,list,28,parameters,0"
「封锁入口的魔法是特制品。,"Map230.json,events,10,pages,0,list,29,parameters,0"
一般的淫魔根本无法破坏……,"Map230.json,events,10,pages,0,list,30,parameters,0"
所以，应该能撑上一周或两周――。,"Map230.json,events,10,pages,0,list,31,parameters,0"
本来是可以撑得住的。,"Map230.json,events,10,pages,0,list,33,parameters,0"
教堂的人,"Map230.json,events,10,pages,0,list,42,parameters,0"
「什……！」,"Map230.json,events,10,pages,0,list,43,parameters,0"
不可能……绝对不可能。,"Map230.json,events,10,pages,0,list,46,parameters,0"
教堂的人能使用的最强防御魔法,"Map230.json,events,10,pages,0,list,47,parameters,0"
竟然被轻易地破坏了。,"Map230.json,events,10,pages,0,list,48,parameters,0"
从被破坏的门中，一个魔物娘缓缓出现。,"Map230.json,events,10,pages,0,list,50,parameters,0"
长着独特的角，蝙蝠的翅膀,"Map230.json,events,10,pages,0,list,52,parameters,0"
还有一条动来动去的尾巴。,"Map230.json,events,10,pages,0,list,53,parameters,0"
穿着挑逗的服装,"Map230.json,events,10,pages,0,list,55,parameters,0"
毫不害羞地展示着丰满的身体,"Map230.json,events,10,pages,0,list,56,parameters,0"
摇动着臀部，高跟鞋发出咔咔的声音,"Map230.json,events,10,pages,0,list,57,parameters,0"
内八字地走过来。,"Map230.json,events,10,pages,0,list,58,parameters,0"
与其他淫魔不同的是，她的头发颜色。,"Map230.json,events,10,pages,0,list,60,parameters,0"
浓郁的紫色是力量超过其他淫魔的证明。,"Map230.json,events,10,pages,0,list,61,parameters,0"
\C[27]淫魔,"Map230.json,events,10,pages,0,list,64,parameters,0"
「打扰一下哦～♡」,"Map230.json,events,10,pages,0,list,65,parameters,0"
轻松而自信地以一种嘲弄的口吻，,"Map230.json,events,10,pages,0,list,67,parameters,0"
一只淫魔走进了教堂......。,"Map230.json,events,10,pages,0,list,68,parameters,0"
教堂的人,"Map230.json,events,10,pages,0,list,81,parameters,0"
「咕……！」,"Map230.json,events,10,pages,0,list,82,parameters,0"
\C[27]淫魔,"Map230.json,events,10,pages,0,list,84,parameters,0"
「在我能够接触到光的范围内,"Map230.json,events,10,pages,0,list,85,parameters,0"
使用那个魔法的时机很糟糕。,"Map230.json,events,10,pages,0,list,86,parameters,0"
如果更早一点，也许我会放过你」,"Map230.json,events,10,pages,0,list,87,parameters,0"
\C[27]淫魔,"Map230.json,events,10,pages,0,list,94,parameters,0"
「能逃到这里来已经很不错了呢……♡,"Map230.json,events,10,pages,0,list,95,parameters,0"
作为奖励给你……」,"Map230.json,events,10,pages,0,list,96,parameters,0"
\C[27]淫魔,"Map230.json,events,10,pages,0,list,99,parameters,0"
「尽情享受吧……我会让你成为淫魔的♡」,"Map230.json,events,10,pages,0,list,100,parameters,0"
教堂的人,"Map230.json,events,10,pages,0,list,102,parameters,0"
「被蒙住了眼睛――。,"Map230.json,events,10,pages,0,list,103,parameters,0"
只需要让她稍微畏缩一下。,"Map230.json,events,10,pages,0,list,112,parameters,0"
用不熟悉的魔法使她目眩，正当她试图从侧面逃跑时,"Map230.json,events,10,pages,0,list,113,parameters,0"
\.\.\.她的手已经被淫魔抓住了。,"Map230.json,events,10,pages,0,list,114,parameters,0"
