淫魔化する男（EDに設置するかも）,"Map231.json,events,1,name"
\C[27]淫魔,"Map231.json,events,1,pages,0,list,3,parameters,0"
「找到了♡」,"Map231.json,events,1,pages,0,list,4,parameters,0"
男性,"Map231.json,events,1,pages,0,list,6,parameters,0"
「呜……呜呜！！！」,"Map231.json,events,1,pages,0,list,7,parameters,0"
她用右手支撑着丰满的胸部，左手指搭在下巴上,"Map231.json,events,1,pages,0,list,10,parameters,0"
舔了舔嘴唇。,"Map231.json,events,1,pages,0,list,11,parameters,0"
\!每当考虑如何享用这顿美食时,"Map231.json,events,1,pages,0,list,12,parameters,0"
她的羽毛和尾巴都会摇摆不定。,"Map231.json,events,1,pages,0,list,13,parameters,0"
男性,"Map231.json,events,1,pages,0,list,15,parameters,0"
「有……有人，请救救我！」,"Map231.json,events,1,pages,0,list,16,parameters,0"
\C[27]淫魔,"Map231.json,events,1,pages,0,list,18,parameters,0"
「不要逃♪\.\.并不是要你死。,"Map231.json,events,1,pages,0,list,19,parameters,0"
你也不只是会变成淫魔而已♪」,"Map231.json,events,1,pages,0,list,20,parameters,0"
男性,"Map231.json,events,1,pages,0,list,22,parameters,0"
「别吵了！别过来，怪物！」,"Map231.json,events,1,pages,0,list,23,parameters,0"
\C[27]淫魔,"Map231.json,events,1,pages,0,list,25,parameters,0"
「那样的怪物也是最棒的♪,"Map231.json,events,1,pages,0,list,26,parameters,0"
只需顺从本能，随心所欲……♡」,"Map231.json,events,1,pages,0,list,27,parameters,0"
双手交叉于后脑勺,"Map231.json,events,1,pages,0,list,29,parameters,0"
她展示着自己变得面目全非的身体给男人看。,"Map231.json,events,1,pages,0,list,30,parameters,0"
被恐惧笼罩，只能发出咒骂和惨叫,"Map231.json,events,1,pages,0,list,31,parameters,0"
男人的目光注视着她的胸部和下体。,"Map231.json,events,1,pages,0,list,32,parameters,0"
男人,"Map231.json,events,1,pages,0,list,35,parameters,0"
「你……你也是人类吧！？,"Map231.json,events,1,pages,0,list,36,parameters,0"
真的没问题吗，不觉得可悲吗！」,"Map231.json,events,1,pages,0,list,37,parameters,0"
\C[27]淫魔,"Map231.json,events,1,pages,0,list,39,parameters,0"
「是呢……一点都不可悲。,"Map231.json,events,1,pages,0,list,40,parameters,0"
淫魔的身体比人类男人强大多了♪」,"Map231.json,events,1,pages,0,list,41,parameters,0"
\C[27]淫魔,"Map231.json,events,1,pages,0,list,44,parameters,0"
「不需要害怕……♡,"Map231.json,events,1,pages,0,list,45,parameters,0"
你也很快就会\C[18]幸福\C[27]的。\.\.,"Map231.json,events,1,pages,0,list,46,parameters,0"
因为你什么都不用考虑」,"Map231.json,events,1,pages,0,list,47,parameters,0"
尾巴轻轻摆动,"Map231.json,events,1,pages,0,list,50,parameters,0"
男人的恐惧达到了顶点。,"Map231.json,events,1,pages,0,list,51,parameters,0"
男人,"Map231.json,events,1,pages,0,list,61,parameters,0"
「呜啊啊啊啊啊啊！！！！！！」,"Map231.json,events,1,pages,0,list,62,parameters,0"
男人试图逃向后方，却只有墙壁。,"Map231.json,events,1,pages,0,list,64,parameters,0"
看到这样的情景，她再次舔了舔嘴唇。,"Map231.json,events,1,pages,0,list,65,parameters,0"
居然能享受到这样的美味——。,"Map231.json,events,1,pages,0,list,66,parameters,0"
\C[27]淫魔,"Map231.json,events,1,pages,0,list,68,parameters,0"
「成为淫魔……真是太好了……♡」,"Map231.json,events,1,pages,0,list,69,parameters,0"
她用手臂和腿抑制住男人，防止他暴动。,"Map231.json,events,1,pages,0,list,74,parameters,0"
尽管如此，男人还是拼命挣扎,"Map231.json,events,1,pages,0,list,75,parameters,0"
但一点反应都没有……,"Map231.json,events,1,pages,0,list,76,parameters,0"
人类真是弱小可悲啊。,"Map231.json,events,1,pages,0,list,77,parameters,0"
对于那个男人，一根尾巴摇摆着靠近。,"Map231.json,events,1,pages,0,list,79,parameters,0"
这是通往淫魔的单程票。,"Map231.json,events,1,pages,0,list,80,parameters,0"
虽然可以通过亲吻改变，但她更喜欢这种方式。,"Map231.json,events,1,pages,0,list,81,parameters,0"
男人,"Map231.json,events,1,pages,0,list,83,parameters,0"
「别过来，别靠近！,"Map231.json,events,1,pages,0,list,84,parameters,0"
别靠近——。,"Map231.json,events,1,pages,0,list,85,parameters,0"
男人,"Map231.json,events,1,pages,0,list,91,parameters,0"
「呜啊……！\.\.\.,"Map231.json,events,1,pages,0,list,92,parameters,0"
咕噗噗……呜啊……！！！」,"Map231.json,events,1,pages,0,list,93,parameters,0"
\C[27]淫魔,"Map231.json,events,1,pages,0,list,95,parameters,0"
「淫魔化液在男人的口中释放出来。,"Map231.json,events,1,pages,0,list,96,parameters,0"
看到他拼命挣扎的样子真是可爱♪,"Map231.json,events,1,pages,0,list,97,parameters,0"
人类咬住这个东西，在口中拼命挣扎,"Map231.json,events,1,pages,0,list,99,parameters,0"
牙齿和舌头的感觉从尾巴传来,"Map231.json,events,1,pages,0,list,100,parameters,0"
然后……子宫开始疼痛。,"Map231.json,events,1,pages,0,list,101,parameters,0"
\C[27]淫魔,"Map231.json,events,1,pages,0,list,103,parameters,0"
「可以了吧……？」,"Map231.json,events,1,pages,0,list,104,parameters,0"
男人,"Map231.json,events,1,pages,0,list,106,parameters,0"
「……噗哈！\.\.\.,"Map231.json,events,1,pages,0,list,107,parameters,0"
不要……身体好热，好热……！」,"Map231.json,events,1,pages,0,list,108,parameters,0"
\C[27]淫魔,"Map231.json,events,1,pages,0,list,110,parameters,0"
「会舒服的♡,"Map231.json,events,1,pages,0,list,111,parameters,0"
你也加入我们吧……？」,"Map231.json,events,1,pages,0,list,112,parameters,0"
男人,"Map231.json,events,1,pages,0,list,114,parameters,0"
「啊啊啊啊啊啊啊啊啊啊啊！！！！！！」,"Map231.json,events,1,pages,0,list,115,parameters,0"
淫魔,"Map231.json,events,1,pages,0,list,124,parameters,0"
「啊啊啊……♡啊哈……♡,"Map231.json,events,1,pages,0,list,125,parameters,0"
变了……我已经……♡」,"Map231.json,events,1,pages,0,list,126,parameters,0"
一只淫魔展示着美丽的身体,"Map231.json,events,1,pages,0,list,128,parameters,0"
摇动着新生的羽毛和尾巴。,"Map231.json,events,1,pages,0,list,129,parameters,0"
身体湿润，淫魔的汗水时而闪闪发光,"Map231.json,events,1,pages,0,list,130,parameters,0"
弥漫着浓郁的雌性气息。,"Map231.json,events,1,pages,0,list,131,parameters,0"
\C[27]淫魔,"Map231.json,events,1,pages,0,list,135,parameters,0"
「呵呵……♪,"Map231.json,events,1,pages,0,list,136,parameters,0"
你知道吗？淫魔的头发通常是浅紫色,"Map231.json,events,1,pages,0,list,137,parameters,0"
但偶尔会有颜色不同的淫魔，据说是特别的个体♡」,"Map231.json,events,1,pages,0,list,138,parameters,0"
\C[27]淫魔,"Map231.json,events,1,pages,0,list,140,parameters,0"
「特别的个体似乎有点强大♪,"Map231.json,events,1,pages,0,list,141,parameters,0"
浓紫色的我和橙色的你都是特别的♡,"Map231.json,events,1,pages,0,list,142,parameters,0"
顺便说一下，孩子们基本上是金色的♪」,"Map231.json,events,1,pages,0,list,143,parameters,0"
淫魔,"Map231.json,events,1,pages,0,list,145,parameters,0"
「我……是特别的呢……♡,"Map231.json,events,1,pages,0,list,146,parameters,0"
必须去。停止这个身体的疼痛……♪」,"Map231.json,events,1,pages,0,list,147,parameters,0"
\C[27]淫魔,"Map231.json,events,1,pages,0,list,149,parameters,0"
「加油哦♪,"Map231.json,events,1,pages,0,list,150,parameters,0"
让我们不断增加伙伴吧……♡」,"Map231.json,events,1,pages,0,list,151,parameters,0"
淫魔,"Map231.json,events,1,pages,0,list,153,parameters,0"
「好的……♡」,"Map231.json,events,1,pages,0,list,154,parameters,0"
这样，淫魔又增加了一人。,"Map231.json,events,1,pages,0,list,158,parameters,0"
她们会扩大势力到什么程度呢……。,"Map231.json,events,1,pages,0,list,159,parameters,0"
\C[27]淫魔,"Map231.json,events,1,pages,0,list,161,parameters,0"
「果然增加伙伴最棒了……♡」,"Map231.json,events,1,pages,0,list,162,parameters,0"
曾经被称为清彦的淫魔,"Map231.json,events,1,pages,0,list,164,parameters,0"
陶醉在增加伙伴的余韵中。,"Map231.json,events,1,pages,0,list,165,parameters,0"
新人教会的人,"Map231.json,events,2,name"
教会的人,"Map231.json,events,2,pages,0,list,3,parameters,0"
“你好，冒险家先生。,"Map231.json,events,2,pages,0,list,4,parameters,0"
在这里\C[18]如果身体有什么问题\C[0]，可以接受治疗哦。”,"Map231.json,events,2,pages,0,list,5,parameters,0"
清彦,"Map231.json,events,2,pages,0,list,7,parameters,0"
“那真是太好了。,"Map231.json,events,2,pages,0,list,8,parameters,0"
这个岛上好像没有医院之类的……”,"Map231.json,events,2,pages,0,list,9,parameters,0"
教会的人,"Map231.json,events,2,pages,0,list,11,parameters,0"
“是的。,"Map231.json,events,2,pages,0,list,12,parameters,0"
虽然我是\C[18]新人\C[0]，但如果有什么问题我会帮助你的！”,"Map231.json,events,2,pages,0,list,13,parameters,0"
清彦,"Map231.json,events,2,pages,0,list,15,parameters,0"
“（到那个时候就拜托你了）”,"Map231.json,events,2,pages,0,list,16,parameters,0"
教会的人,"Map231.json,events,2,pages,1,list,3,parameters,0"
“你好，冒险家先生。,"Map231.json,events,2,pages,1,list,4,parameters,0"
在这里\C[18]如果身体有什么问题\C[0]，可以接受治疗哦。”,"Map231.json,events,2,pages,1,list,5,parameters,0"
清彦,"Map231.json,events,2,pages,1,list,7,parameters,0"
“那真是太好了。,"Map231.json,events,2,pages,1,list,8,parameters,0"
这个岛上好像没有医院之类的……”,"Map231.json,events,2,pages,1,list,9,parameters,0"
教会的人,"Map231.json,events,2,pages,1,list,11,parameters,0"
“是的。,"Map231.json,events,2,pages,1,list,12,parameters,0"
虽然我是\C[18]新人\C[0]，但如果有什么问题我会帮助你的！”,"Map231.json,events,2,pages,1,list,13,parameters,0"
清彦,"Map231.json,events,2,pages,1,list,15,parameters,0"
“（到那个时候就拜托你了）”,"Map231.json,events,2,pages,1,list,16,parameters,0"
男人,"Map231.json,events,9,pages,0,list,2,parameters,0"
「……呼，终于冷静下来了」,"Map231.json,events,9,pages,0,list,3,parameters,0"
教会的人,"Map231.json,events,9,pages,0,list,8,parameters,0"
「那真是太好了♪」,"Map231.json,events,9,pages,0,list,9,parameters,0"
男人,"Map231.json,events,9,pages,0,list,12,parameters,0"
「那么……虽然我们得到了帮助,"Map231.json,events,9,pages,0,list,13,parameters,0"
但我们要怎样从这里离开城市呢……？」,"Map231.json,events,9,pages,0,list,14,parameters,0"
女性,"Map231.json,events,9,pages,0,list,19,parameters,0"
「那样的话没有问题」,"Map231.json,events,9,pages,0,list,20,parameters,0"
女性和教会的人微笑着。,"Map231.json,events,9,pages,0,list,22,parameters,0"
如果有什么办法的话，男人松了一口气，露出安心的表情。,"Map231.json,events,9,pages,0,list,23,parameters,0"
\.\.\.直到两人的微笑变成了坏笑。,"Map231.json,events,9,pages,0,list,24,parameters,0"
女性,"Map231.json,events,9,pages,0,list,28,parameters,0"
「只要你成为淫魔就可以出去了♡」,"Map231.json,events,9,pages,0,list,29,parameters,0"
男人,"Map231.json,events,9,pages,0,list,31,parameters,0"
