※ED1.精灵ED之一,"Map258.json,events,2,pages,0,list,4,parameters,0"
这个ED还没有解锁。,"Map258.json,events,2,pages,0,list,5,parameters,0"
要查看解锁方法吗？,"Map258.json,events,2,pages,0,list,6,parameters,0"
是,"Map258.json,events,2,pages,0,list,7,parameters,0,0"
解锁这个ED,"Map258.json,events,2,pages,0,list,7,parameters,0,1"
否,"Map258.json,events,2,pages,0,list,7,parameters,0,2"
是,"Map258.json,events,2,pages,0,list,8,parameters,1"
在与精灵交换之后，,"Map258.json,events,2,pages,0,list,10,parameters,0"
原路返回吧。,"Map258.json,events,2,pages,0,list,11,parameters,0"
解锁这个ED,"Map258.json,events,2,pages,0,list,13,parameters,1"
确定要解锁吗？,"Map258.json,events,2,pages,0,list,15,parameters,0"
（一旦解锁，就无法回退）,"Map258.json,events,2,pages,0,list,16,parameters,0"
是,"Map258.json,events,2,pages,0,list,17,parameters,0,0"
否,"Map258.json,events,2,pages,0,list,17,parameters,0,1"
是,"Map258.json,events,2,pages,0,list,18,parameters,1"
否,"Map258.json,events,2,pages,0,list,24,parameters,1"
否,"Map258.json,events,2,pages,0,list,28,parameters,1"
要查看『ED1.奴隶♀精灵ED』吗？,"Map258.json,events,2,pages,1,list,2,parameters,0"
是,"Map258.json,events,2,pages,1,list,3,parameters,0,0"
否,"Map258.json,events,2,pages,1,list,3,parameters,0,1"
是,"Map258.json,events,2,pages,1,list,4,parameters,1"
否,"Map258.json,events,2,pages,1,list,16,parameters,1"
※ED2.精灵ED之二,"Map258.json,events,4,pages,0,list,4,parameters,0"
这个ED还没有解锁。,"Map258.json,events,4,pages,0,list,5,parameters,0"
要查看解锁方法吗？,"Map258.json,events,4,pages,0,list,6,parameters,0"
是,"Map258.json,events,4,pages,0,list,7,parameters,0,0"
解锁这个ED,"Map258.json,events,4,pages,0,list,7,parameters,0,1"
否,"Map258.json,events,4,pages,0,list,7,parameters,0,2"
是,"Map258.json,events,4,pages,0,list,8,parameters,1"
在与精灵交换之后，,"Map258.json,events,4,pages,0,list,10,parameters,0"
继续向南走，然后在精灵村推进事件。,"Map258.json,events,4,pages,0,list,11,parameters,0"
解锁这个ED,"Map258.json,events,4,pages,0,list,13,parameters,1"
确定要解锁吗？,"Map258.json,events,4,pages,0,list,15,parameters,0"
（一旦解锁，就无法回退）,"Map258.json,events,4,pages,0,list,16,parameters,0"
是,"Map258.json,events,4,pages,0,list,17,parameters,0,0"
否,"Map258.json,events,4,pages,0,list,17,parameters,0,1"
