从这里开始是精灵篇的回忆。,"Map260.json,events,1,pages,0,list,1,parameters,0"
从这里开始向右是吸血姬篇的回忆。,"Map260.json,events,2,pages,0,list,1,parameters,0"
从这里开始向右是爱娜温篇的回忆。,"Map260.json,events,3,pages,0,list,1,parameters,0"
从这里开始向右是人鱼篇的回忆。,"Map260.json,events,4,pages,0,list,1,parameters,0"
从这里开始向右是猫娘篇的回忆。,"Map260.json,events,5,pages,0,list,1,parameters,0"
小子,"Map260.json,events,6,name"
从这里开始向右是妖狐篇的回忆。,"Map260.json,events,6,pages,0,list,1,parameters,0"
梦女,"Map260.json,events,7,name"
从这里开始向右是龙娘篇的回忆。,"Map260.json,events,7,pages,0,list,1,parameters,0"
小鸟,"Map260.json,events,8,name"
从这里开始向右是哈比篇的回忆。,"Map260.json,events,8,pages,0,list,1,parameters,0"
孩子音码,"Map260.json,events,9,name"
从这里开始向右是魅魔篇（萝莉魅魔）的回忆。,"Map260.json,events,9,pages,0,list,1,parameters,0"
魅魔,"Map260.json,events,10,name"
从这里开始向右是魅魔篇（成人魅魔）的回忆。,"Map260.json,events,10,pages,0,list,1,parameters,0"
主人公,"Map260.json,events,11,name"
可以看到主人公的立绘。,"Map260.json,events,11,pages,0,list,1,parameters,0"
CG回忆室,"Map260.json,events,12,name"
在这个房间里，可以看到游戏中看过的插图。,"Map260.json,events,12,pages,0,list,1,parameters,0"
点击“查看CG画”按钮，插图会被放大。,"Map260.json,events,12,pages,0,list,2,parameters,0"
点击取消按钮可以返回原来的状态。,"Map260.json,events,12,pages,0,list,3,parameters,0"
完成显示CG画的事件后，,"Map260.json,events,12,pages,0,list,5,parameters,0"
会自动解锁。,"Map260.json,events,12,pages,0,list,6,parameters,0"
另外，如果要获取解锁提示，,"Map260.json,events,12,pages,0,list,8,parameters,0"
可能会包含剧透内容。,"Map260.json,events,12,pages,0,list,9,parameters,0"
请事先知悉。,"Map260.json,events,12,pages,0,list,10,parameters,0"
要进入事件回忆室吗？,"Map260.json,events,13,pages,0,list,1,parameters,0"
是,"Map260.json,events,13,pages,0,list,2,parameters,0,0"
否,"Map260.json,events,13,pages,0,list,2,parameters,0,1"
是,"Map260.json,events,13,pages,0,list,3,parameters,1"
否,"Map260.json,events,13,pages,0,list,7,parameters,1"
这个CG画还没有解锁。,"Map260.json,events,14,pages,0,list,5,parameters,0"
查看解锁方法,"Map260.json,events,14,pages,0,list,7,parameters,0,0"
解锁CG画,"Map260.json,events,14,pages,0,list,7,parameters,0,1"
保持原样,"Map260.json,events,14,pages,0,list,7,parameters,0,2"
查看解锁方法,"Map260.json,events,14,pages,0,list,8,parameters,1"
进行精灵篇的推进时会在对话事件中解锁。,"Map260.json,events,14,pages,0,list,10,parameters,0"
解锁CG画,"Map260.json,events,14,pages,0,list,12,parameters,1"
要解锁这个插图吗？,"Map260.json,events,14,pages,0,list,14,parameters,0"
（此操作无法撤销）,"Map260.json,events,14,pages,0,list,15,parameters,0"
是,"Map260.json,events,14,pages,0,list,16,parameters,0,0"
否,"Map260.json,events,14,pages,0,list,16,parameters,0,1"
是,"Map260.json,events,14,pages,0,list,17,parameters,1"
否,"Map260.json,events,14,pages,0,list,26,parameters,1"
保持原样,"Map260.json,events,14,pages,0,list,30,parameters,1"
放大CG画,"Map260.json,events,14,pages,1,list,3,parameters,0,0"
停止观察,"Map260.json,events,14,pages,1,list,3,parameters,0,1"
放大CG画,"Map260.json,events,14,pages,1,list,4,parameters,1"
停止观察,"Map260.json,events,14,pages,1,list,7,parameters,1"
这个CG画还没有解锁。,"Map260.json,events,16,pages,0,list,5,parameters,0"
查看解锁方法,"Map260.json,events,16,pages,0,list,7,parameters,0,0"
解锁CG画,"Map260.json,events,16,pages,0,list,7,parameters,0,1"
保持原样,"Map260.json,events,16,pages,0,list,7,parameters,0,2"
查看解锁方法,"Map260.json,events,16,pages,0,list,8,parameters,1"
观看妖狐篇的开场动画后解锁。,"Map260.json,events,16,pages,0,list,10,parameters,0"
解锁CG画,"Map260.json,events,16,pages,0,list,12,parameters,1"
要解锁这个插图吗？,"Map260.json,events,16,pages,0,list,14,parameters,0"
（此操作无法撤销）,"Map260.json,events,16,pages,0,list,15,parameters,0"
是,"Map260.json,events,16,pages,0,list,16,parameters,0,0"
否,"Map260.json,events,16,pages,0,list,16,parameters,0,1"
是,"Map260.json,events,16,pages,0,list,17,parameters,1"
否,"Map260.json,events,16,pages,0,list,27,parameters,1"
保持原样,"Map260.json,events,16,pages,0,list,31,parameters,1"
放大CG画,"Map260.json,events,16,pages,1,list,3,parameters,0,0"
停止观察,"Map260.json,events,16,pages,1,list,3,parameters,0,1"
放大CG画,"Map260.json,events,16,pages,1,list,4,parameters,1"
停止观察,"Map260.json,events,16,pages,1,list,7,parameters,1"
这个CG画还没有解锁。,"Map260.json,events,18,pages,0,list,5,parameters,0"
查看解锁方法,"Map260.json,events,18,pages,0,list,7,parameters,0,0"
解锁CG画,"Map260.json,events,18,pages,0,list,7,parameters,0,1"
保持原样,"Map260.json,events,18,pages,0,list,7,parameters,0,2"
查看解锁方法,"Map260.json,events,18,pages,0,list,8,parameters,1"
进行精灵篇的推进后会自动获得。,"Map260.json,events,18,pages,0,list,10,parameters,0"
从自由行动可行时检查镜子,"Map260.json,events,18,pages,0,list,11,parameters,0"
会显示相同的插图，,"Map260.json,events,18,pages,0,list,12,parameters,0"
不需要检查那边。,"Map260.json,events,18,pages,0,list,13,parameters,0"
解锁CG画,"Map260.json,events,18,pages,0,list,15,parameters,1"
要解锁这个插图吗？,"Map260.json,events,18,pages,0,list,17,parameters,0"
（此操作无法撤销）,"Map260.json,events,18,pages,0,list,18,parameters,0"
是,"Map260.json,events,18,pages,0,list,19,parameters,0,0"
否,"Map260.json,events,18,pages,0,list,19,parameters,0,1"
是,"Map260.json,events,18,pages,0,list,20,parameters,1"
否,"Map260.json,events,18,pages,0,list,29,parameters,1"
保持原样,"Map260.json,events,18,pages,0,list,33,parameters,1"
放大CG画,"Map260.json,events,18,pages,1,list,15,parameters,0,0"
切换到差分1,"Map260.json,events,18,pages,1,list,15,parameters,0,1"
切换到差分2,"Map260.json,events,18,pages,1,list,15,parameters,0,2"
切换到差分3,"Map260.json,events,18,pages,1,list,15,parameters,0,3"
保持原样,"Map260.json,events,18,pages,1,list,15,parameters,0,4"
放大CG画,"Map260.json,events,18,pages,1,list,16,parameters,1"
切换到差分1,"Map260.json,events,18,pages,1,list,19,parameters,1"
切换到差分2,"Map260.json,events,18,pages,1,list,24,parameters,1"
切换到差分3,"Map260.json,events,18,pages,1,list,29,parameters,1"
保持原样,"Map260.json,events,18,pages,1,list,34,parameters,1"
这个CG画还没有解锁。,"Map260.json,events,19,pages,0,list,5,parameters,0"
查看解锁方法,"Map260.json,events,19,pages,0,list,7,parameters,0,0"
解锁CG画,"Map260.json,events,19,pages,0,list,7,parameters,0,1"
保持原样,"Map260.json,events,19,pages,0,list,7,parameters,0,2"
查看解锁方法,"Map260.json,events,19,pages,0,list,8,parameters,1"
进行精灵篇的推进时会在对话事件中解锁。,"Map260.json,events,19,pages,0,list,10,parameters,0"
这是从森林逃脱的路线。,"Map260.json,events,19,pages,0,list,11,parameters,0"
解锁CG画,"Map260.json,events,19,pages,0,list,13,parameters,1"
要解锁这个插图吗？,"Map260.json,events,19,pages,0,list,15,parameters,0"
（此操作无法撤销）,"Map260.json,events,19,pages,0,list,16,parameters,0"
是,"Map260.json,events,19,pages,0,list,17,parameters,0,0"
否,"Map260.json,events,19,pages,0,list,17,parameters,0,1"
是,"Map260.json,events,19,pages,0,list,18,parameters,1"
否,"Map260.json,events,19,pages,0,list,27,parameters,1"
保持原样,"Map260.json,events,19,pages,0,list,31,parameters,1"
放大CG画,"Map260.json,events,19,pages,1,list,16,parameters,0,0"
切换到差分1,"Map260.json,events,19,pages,1,list,16,parameters,0,1"
切换到差分2,"Map260.json,events,19,pages,1,list,16,parameters,0,2"
切换到差分3,"Map260.json,events,19,pages,1,list,16,parameters,0,3"
