蝙蝠*2,"Troops.json,1,name"
史莱姆*2,"Troops.json,2,name"
兽人,"Troops.json,3,name"
牛头怪,"Troops.json,4,name"
次要敌人两人,"Troops.json,6,name"
次要敌人两人2,"Troops.json,7,name"
男人 1,"Troops.json,7,pages,0,list,2,parameters,0"
“嗯？怎么，你做了什么吗？”,"Troops.json,7,pages,0,list,3,parameters,0"
男人2,"Troops.json,7,pages,0,list,5,parameters,0"
“呵呵。,"Troops.json,7,pages,0,list,6,parameters,0"
还是猫的拳头更疼。”,"Troops.json,7,pages,0,list,7,parameters,0"
\C[27] 清彦,"Troops.json,7,pages,0,list,9,parameters,0"
（不，我很努力地想打他，但根本没用。,"Troops.json,7,pages,0,list,11,parameters,0"
相反，我的拳头很痛……）,"Troops.json,7,pages,0,list,12,parameters,0"
男人 1,"Troops.json,7,pages,0,list,14,parameters,0"
“好吧，现在轮到我了。”,"Troops.json,7,pages,0,list,15,parameters,0"
男人 1,"Troops.json,7,pages,0,list,21,parameters,0"
“怎么，你变小了？,"Troops.json,7,pages,0,list,22,parameters,0"
你看，你看……啊？ ”,"Troops.json,7,pages,0,list,23,parameters,0"
男人2,"Troops.json,7,pages,0,list,25,parameters,0"
“放心，我不会伤害你的。”,"Troops.json,7,pages,0,list,26,parameters,0"
\C[27] 清彦,"Troops.json,7,pages,0,list,28,parameters,0"
“嘎……”,"Troops.json,7,pages,0,list,29,parameters,0"
（我该怎么办？一定有什么办法……）”,"Troops.json,7,pages,0,list,30,parameters,0"
男人 1,"Troops.json,7,pages,0,list,36,parameters,0"
「嗯？你，你不会使用攻击魔法吧？」,"Troops.json,7,pages,0,list,37,parameters,0"
男人2,"Troops.json,7,pages,0,list,39,parameters,0"
「也许精灵不能使用攻击魔法。,"Troops.json,7,pages,0,list,40,parameters,0"
呵呵，\C[18]一定是六个月前在\C[0]处逃逸的。”,"Troops.json,7,pages,0,list,41,parameters,0"
\C[27] 清彦,"Troops.json,7,pages,0,list,43,parameters,0"
“嘎……！,"Troops.json,7,pages,0,list,44,parameters,0"
（我不能使用攻击魔法……,"Troops.json,7,pages,0,list,45,parameters,0"
我必须在这里攻击并保护自己！ ）”,"Troops.json,7,pages,0,list,46,parameters,0"
\C[27] 清彦,"Troops.json,7,pages,0,list,48,parameters,0"
（由于某种原因我无法使用攻击魔法。,"Troops.json,7,pages,0,list,49,parameters,0"
出来的只是恢复魔法……！ ）”,"Troops.json,7,pages,0,list,50,parameters,0"
吸血姬清香,"Troops.json,9,name"
\C[27] 清香,"Troops.json,9,pages,0,list,1,parameters,0"
「随便你从哪个角度攻击♪」,"Troops.json,9,pages,0,list,2,parameters,0"
